EMP,CHAIN,CO_OWNED,STATE,SOUTHJ,CENTRALJ,NORTHJ,PA1,PA2,SHORE,TIME
40.5,1,0,0,0,0,0,1,0,0,0
13.75,2,0,0,0,0,0,1,0,0,0
8.5,2,1,0,0,0,0,1,0,0,0
34,4,1,0,0,0,0,1,0,0,0
24,4,1,0,0,0,0,1,0,0,0
70.5,1,0,0,0,0,0,0,1,0,0
23.5,1,0,0,0,0,0,0,1,0,0
11,2,1,0,0,0,0,0,1,0,0
9,2,1,0,0,0,0,1,0,0,0
15.5,3,1,0,0,0,0,0,1,0,0
58,1,0,0,0,0,0,0,1,0,0
26.5,1,0,0,0,0,0,0,1,0,0
28.5,1,0,0,0,0,0,0,1,0,0
13.5,1,0,0,0,0,0,0,1,0,0
16.75,2,1,0,0,0,0,0,1,0,0
9.5,2,1,0,0,0,0,0,1,0,0
15,3,1,0,0,0,0,0,1,0,0
29.5,3,0,0,0,0,0,0,1,0,0
18.5,3,0,0,0,0,0,0,1,0,0
20.25,3,1,0,0,0,0,0,1,0,0
36,3,1,0,0,0,0,1,0,0,0
21,3,0,0,0,0,0,0,1,0,0
20.5,3,1,0,0,0,0,0,1,0,0
19,4,1,0,0,0,0,0,1,0,0
14,3,1,0,0,0,0,0,1,0,0
19,3,1,0,0,0,0,0,1,0,0
32.5,1,0,0,0,0,0,1,0,0,0
19,1,0,0,0,0,0,1,0,0,0
27,1,0,0,0,0,0,1,0,0,0
19.5,1,0,0,0,0,0,1,0,0,0
24,1,0,0,0,0,0,1,0,0,0
18,1,0,0,0,0,0,1,0,0,0
19,1,0,0,0,0,0,1,0,0,0
14,2,0,0,0,0,0,1,0,0,0
10.5,2,0,0,0,0,0,1,0,0,0
38,4,1,0,0,0,0,1,0,0,0
23.5,4,1,0,0,0,0,1,0,0,0
10.5,4,0,0,0,0,0,1,0,0,0
25,4,0,0,0,0,0,1,0,0,0
11,2,1,0,0,0,0,0,1,0,0
36.5,1,0,0,0,0,0,1,0,0,0
52.5,1,0,0,0,0,0,1,0,0,0
29,1,0,0,0,0,0,1,0,0,0
45,1,0,0,0,0,0,1,0,0,0
22.75,1,0,0,0,0,0,1,0,0,0
7.5,2,0,0,0,0,0,1,0,0,0
15.5,4,0,0,0,0,0,1,0,0,0
38,4,0,0,0,0,0,1,0,0,0
17.5,4,0,0,0,0,0,1,0,0,0
25,4,0,0,0,0,0,1,0,0,0
21,1,0,0,0,0,0,0,1,0,0
15.5,1,0,0,0,0,0,0,1,0,0
15.5,1,0,0,0,0,0,0,1,0,0
8.5,2,1,0,0,0,0,0,1,0,0
18,3,1,0,0,0,0,0,1,0,0
20.75,4,0,0,0,0,0,0,1,0,0
39,1,0,0,0,0,0,0,1,0,0
41.5,1,0,0,0,0,0,0,1,0,0
22.5,1,0,0,0,0,0,0,1,0,0
32,1,0,0,0,0,0,0,1,0,0
24,1,0,0,0,0,0,1,0,0,0
26,1,0,0,0,0,0,0,1,0,0
48.5,1,0,0,0,0,0,1,0,0,0
8.5,2,1,0,0,0,0,0,1,0,0
18.5,3,0,0,0,0,0,0,1,0,0
13,3,1,0,0,0,0,0,1,0,0
28,4,1,0,0,0,0,0,1,0,0
24.5,1,0,0,0,0,0,0,1,0,0
18.5,1,0,0,0,0,0,0,1,0,0
23.5,3,1,0,0,0,0,0,1,0,0
15,3,1,0,0,0,0,0,1,0,0
18,3,0,0,0,0,0,0,1,0,0
20.25,3,1,0,0,0,0,0,1,0,0
15.5,1,0,0,0,0,0,1,0,0,0
21,1,0,0,0,0,0,1,0,0,0
15,1,0,1,0,1,0,0,0,0,0
15,1,0,1,0,1,0,0,0,0,0
24,3,0,1,0,1,0,0,0,0,0
19.25,3,1,1,0,0,1,0,0,0,0
21.5,1,0,1,0,0,1,0,0,0,0
9.5,2,0,1,0,0,1,0,0,0,0
44,4,0,1,0,0,1,0,0,0,0
21,1,0,1,0,0,1,0,0,0,0
28,4,0,1,1,0,0,0,0,1,0
10,4,0,1,1,0,0,0,0,0,0
20.5,1,0,1,0,0,1,0,0,0,0
25.5,3,1,1,0,0,1,0,0,0,0
19,4,0,1,0,0,1,0,0,0,0
16.5,1,0,1,1,0,0,0,0,0,0
17,1,1,1,1,0,0,0,0,0,0
27.5,1,1,1,0,0,1,0,0,0,0
5,3,1,1,0,1,0,0,0,0,0
16,2,0,1,0,1,0,0,0,0,0
41.5,1,0,1,0,0,1,0,0,0,0
13,2,1,1,0,1,0,0,0,0,0
10,2,0,1,0,0,1,0,0,0,0
15,2,0,1,0,1,0,0,0,0,0
26,3,0,1,0,0,1,0,0,0,0
18,4,0,1,0,1,0,0,0,0,0
35,3,0,1,0,0,1,0,0,0,0
21,3,1,1,0,0,1,0,0,0,0
34.5,4,0,1,0,0,1,0,0,0,0
18.25,4,0,1,0,0,1,0,0,0,0
20,1,0,1,0,1,0,0,0,1,0
16,1,1,1,0,1,0,0,0,0,0
17.5,2,0,1,0,1,0,0,0,0,0
20,4,0,1,0,0,1,0,0,0,0
12.25,2,1,1,0,1,0,0,0,0,0
33,3,0,1,0,1,0,0,0,0,0
31.5,3,0,1,0,1,0,0,0,0,0
28,4,0,1,0,1,0,0,0,0,0
16.5,1,0,1,0,0,1,0,0,0,0
14.75,1,0,1,0,0,1,0,0,0,0
23.5,1,0,1,0,0,1,0,0,0,0
10,1,0,1,0,0,1,0,0,0,0
46.5,1,0,1,0,0,1,0,0,0,0
15.5,2,0,1,0,0,1,0,0,0,0
24.5,3,1,1,0,0,1,0,0,0,0
