ahe,female,age,yrseduc,location
20.67307663,0,31,14,south
24.27884674,0,50,12,south
10.14957237,0,36,12,south
8.894230843,1,33,10,south
6.410256386,1,56,10,south
16.66666603,1,52,12,south
34.61538315,0,30,16,west
11.05769253,0,41,12,south
19.23077011,0,37,13,south
12.01923084,1,44,13,south
10.20408154,1,47,8,south
10.09615421,1,53,11,south
16.34615326,0,55,12,south
45.78754425,1,59,19,northeast
19.23077011,1,30,16,northeast
31.73077011,0,46,16,northeast
16.70040512,1,46,12,northeast
27.88461494,1,48,16,northeast
17.30769157,0,46,14,northeast
10,1,52,12,northeast
22.11538506,1,36,13,northeast
33.65384674,1,48,12,northeast
32.69230652,0,37,12,northeast
35.7142868,1,41,18,northeast
11.53846169,1,56,12,northeast
24.03846169,1,41,13,northeast
12.59615421,0,53,14,northeast
16.92307663,1,49,16,northeast
21.63461494,0,45,13,northeast
19.23077011,0,36,12,northeast
3.605769157,1,23,13,northeast
33.65384674,0,46,18,northeast
30.28846169,0,41,16,northeast
10.81730747,0,23,12,northeast
24.03846169,0,23,12,northeast
29.80769157,0,46,12,south
10.8805666,1,56,13,south
26.44230843,0,58,12,south
30.21977997,1,45,12,south
4.39560461,1,21,13,south
15.68825912,1,43,14,south
24.29149818,1,54,12,south
25,0,38,13,south
50.48077011,0,42,16,south
17.30769157,1,41,18,south
47.59615326,0,40,20,south
14.42307663,1,41,16,south
13.73626328,1,30,12,midwest
14.42307663,1,61,13,south
14.42307663,0,45,12,south
30.28846169,0,44,12,south
19.23077011,1,55,16,south
16.82692337,1,62,18,south
15.38461494,1,48,12,south
2.884615421,0,62,14,south
13.94230747,1,30,13,south
32.21154022,1,61,12,south
12.30769253,0,23,16,midwest
19.23077011,0,25,16,northeast
28.22115326,0,24,16,northeast
45.67307663,0,42,18,south
16.82692337,1,28,18,south
38.46154022,1,32,16,south
29.9145298,1,41,19,south
33.65384674,0,33,16,south
33.21678162,0,42,16,south
34.61538315,0,32,19,northeast
49.03845978,1,42,20,south
45.38461685,0,40,20,south
34.13461685,1,63,16,south
14.42307663,0,50,12,south
14.42307663,1,59,12,south
38.46154022,0,58,16,south
13.07692337,0,43,12,south
42.73504257,0,57,16,south
21.63461494,1,55,16,south
12.82051277,1,34,18,south
13.98601437,0,58,16,south
40.4858284,1,55,12,south
6.25,1,59,12,south
8.653845787,0,26,13,south
12.98076916,1,55,13,south
13.46153831,0,28,14,south
18.75,0,32,13,south
48.07692337,0,56,16,south
39.42307663,0,42,12,south
2.5,1,47,12,south
3.205128193,1,45,13,south
11.11111069,0,41,12,south
14.42307663,1,59,13,south
10,0,62,12,south
10.57692337,1,49,12,south
23.07692337,0,45,12,south
11.53846169,0,39,12,south
9.615385056,0,32,12,south
42.73504257,0,46,12,south
27.77777863,0,42,13,south
8.520709991,1,50,16,south
7.384615421,1,28,13,south
19.23077011,0,30,12,south
9.134614944,1,27,12,south
15,0,41,14,south
9.615385056,0,49,6,south
19.23077011,1,32,16,south
23.07692337,1,31,16,south
16.02564049,1,36,16,south
5.769230843,1,56,12,south
13.46153831,0,26,12,south
16.48351669,0,53,13,south
16.48351669,1,53,14,south
10.89743614,0,49,12,northeast
19.61538506,1,47,16,south
15.86538506,0,48,12,south
18.07692337,0,38,12,south
13.73626328,1,38,12,south
11.53846169,0,27,13,northeast
10.09615421,0,22,11,northeast
5.769230843,0,53,12,south
7.307692528,1,59,12,south
5.769230843,0,22,13,south
10.57692337,0,45,12,south
8.012820244,1,50,12,south
6.263736248,1,46,12,south
32.69230652,1,49,16,south
9.134614944,0,49,14,south
5.06072855,0,38,18,south
26.44230843,1,44,18,south
9.615385056,1,58,14,south
24.03846169,0,36,16,south
29.20000076,0,51,18,south
11.53846169,1,49,12,south
9.214743614,1,44,13,south
9.615385056,1,45,12,south
16.02564049,0,46,12,south
20.5128212,0,44,13,south
14.42307663,0,40,11,south
39.71571732,0,47,13,south
6.410256386,1,53,14,south
24.03846169,1,57,13,west
10.16483498,1,50,16,south
22.43589783,0,50,12,south
35.40209961,1,51,16,south
13.16239357,1,39,12,south
18.88162613,0,52,12,south
15.38461494,1,33,16,south
18.62980843,1,56,12,south
9.615385056,1,33,12,south
26.15384674,0,29,16,south
17.4418602,1,28,16,south
8.413461685,1,31,12,south
8.17307663,0,24,12,south
23.07692337,0,24,10,south
8.125,0,34,12,south
26.44230843,0,29,16,south
29.80769157,0,44,16,south
17.30769157,0,41,14,south
14.10256386,0,33,13,south
20.67307663,0,56,12,south
12.01923084,1,39,10,south
38.46154022,0,39,12,south
6.578947544,1,52,10,south
6.221719265,1,30,12,south
8.653845787,1,52,12,south
24.03846169,0,29,14,south
12.98076916,1,57,12,south
15.38461494,0,53,12,south
15.81196594,0,33,14,south
