avgexp,age,income,ownrent
124.98,38,4.52,1
9.85,33,2.42,0
15,34,4.5,1
137.87,31,2.54,0
546.5,32,9.79,1
92,23,2.5,0
40.83,28,3.96,0
150.79,29,2.37,1
777.82,37,3.8,1
52.58,28,3.2,0
256.66,31,3.95,1
78.87,29,2.45,1
42.62,35,1.91,1
335.43,41,3.2,1
248.72,40,4,1
548.03,40,10,1
43.34,35,2.35,1
218.52,34,2,1
170.64,36,4,0
37.58,43,5.14,1
502.2,30,4.51,0
73.18,22,1.5,0
1532.77,40,5.5,1
42.69,22,2.03,0
417.83,29,3.2,0
552.72,21,2.47,1
222.54,24,3,0
541.3,43,3.54,1
568.77,37,5.7,1
344.47,27,3.5,0
405.35,28,4.6,1
310.94,26,3,1
53.65,23,2.59,0
63.92,30,1.51,0
165.85,30,1.85,0
9.58,38,2.6,0
319.49,36,2,0
83.08,26,2.35,0
644.83,28,7,1
93.2,24,2,0
105.04,21,1.7,0
34.13,24,2.8,0
41.19,26,2.4,0
169.89,33,3,0
1898.03,34,4.8,0
810.39,33,3.18,0
32.78,21,1.5,0
95.8,25,3,0
27.78,27,2.28,0
215.07,26,2.8,0
79.51,22,2.7,0
306.03,41,6,0
104.54,42,3.9,0
642.47,25,3.07,0
308.05,31,2.46,1
186.35,27,2,0
56.15,33,3.25,0
129.37,37,2.72,0
93.11,27,2.2,0
292.66,24,3.75,0
98.46,25,2.88,0
258.55,36,3.05,0
101.68,33,2.55,0
65.25,55,2.64,1
108.61,20,1.65,0
49.56,29,2.4,0
235.57,41,7.24,1
68.38,43,2.4,0
474.15,33,6,1
234.05,25,3.6,0
451.2,26,5,1
251.52,46,5.5,1
