prca,prcw,qtya,qtyw,mon,tues,wed,thurs,speed2,wave2,speed3,wave3,avgprc,totqty,lavgprc,ltotqty,t,lavgp_1,gavgprc,gavgp_1
0.622222185,0.76666671,1875,2205,1,0,0,0,15,7.5,20,9,0.700285971,4080,-0.356266499,8.31385231,1,NA,NA,NA
0.972222209,1.174999952,2900,566,0,0,1,0,10,5,20,7.5,1.005335927,3466,0.005321742,8.150756836,2,-0.356266499,0.36158824,NA
1.233332992,1.475000024,770,1525,0,0,0,1,10,6,20,4,1.393917799,2295,0.332118332,7.738488197,3,0.005321742,0.326796591,0.36158824
1.928570986,1.625,927,943,0,0,0,0,15,6,20,5,1.775486827,1870,0.574074626,7.53369379,4,0.332118332,0.241956294,0.326796591
0.803125024,0.864285707,4220,2665,1,0,0,0,10,3.5,20,3.5,0.826798677,6885,-0.190194055,8.837100029,5,0.574074626,-0.764268696,0.241956294
0.881818175,0.914285719,4230,1375,0,1,0,0,15,4.5,15,3.5,0.889783025,5605,-0.116777636,8.631414413,6,-0.190194055,0.073416419,-0.764268696
0.768750012,0.829999983,3079,1880,0,0,1,0,10,4.5,20,3.5,0.791970432,4959,-0.233231217,8.50895977,7,-0.116777636,-0.116453581,0.073416419
0.829999983,1,945,1240,0,0,0,1,10,4,20,4.5,0.926475942,2185,-0.076367199,7.689371109,8,-0.233231217,0.156864017,-0.116453581
0.689285696,0.761538386,7925,1395,0,0,0,0,10,4,15,4.5,0.700100362,9320,-0.35653159,9.139918327,9,-0.076367199,-0.280164391,0.156864017
1.474074006,1.53888905,4895,1898,1,0,0,0,20,12.5,20,3.5,1.492183685,6793,0.4002406,8.823647499,10,-0.35653159,0.756772161,-0.280164391
1.616667032,1.5,1275,650,0,1,0,0,15,9,45,12.5,1.577273011,1925,0.455697417,7.562681198,11,0.4002406,0.055456817,0.756772161
1.450000048,1.511111021,1834,636,0,0,1,0,15,7.5,30,12.5,1.465735555,2470,0.38235721,7.811973572,12,0.455697417,-0.073340207,0.055456817
1.279167056,1.353124976,4295,4522,0,0,0,1,10,4.5,25,9,1.317098022,8817,0.275430858,9.08443737,13,0.38235721,-0.106926352,-0.073340207
1.216667056,1.268749952,3120,1545,0,0,0,0,10,4.5,20,7.5,1.233916402,4665,0.210193172,8.447843552,14,0.275430858,-0.065237686,-0.106926352
0.889999986,0.98636359,4165,3075,1,0,0,0,10,6,25,4,0.930927873,7240,-0.071573481,8.887376785,15,0.210193172,-0.281766653,-0.065237686
0.829999983,0.930000007,3250,540,0,1,0,0,10,4,25,6,0.844247997,3790,-0.16930899,8.240120888,16,-0.071573481,-0.097735509,-0.281766653
1.27857101,1.25,1730,300,0,0,1,0,15,8,15,6,1.274348736,2030,0.242435247,7.615790844,17,-0.16930899,0.411744237,-0.097735509
1.083333015,1.233332992,1245,1640,0,0,0,1,15,8,20,4,1.168601632,2885,0.155807853,7.967280388,18,0.242435247,-0.086627394,0.411744237
1.0625,1.166666985,540,660,0,0,0,0,15,7.5,35,8,1.119791865,1200,0.113142833,7.090076923,19,0.155807853,-0.04266502,-0.086627394
1,1.25,110,60,1,0,0,0,20,5.5,20,5,1.088235259,170,0.084557354,5.135798454,20,0.113142833,-0.028585479,-0.04266502
1.25,1.25,450,650,0,1,0,0,15,5.5,30,4.5,1.25,1100,0.223143548,7.003065586,21,0.084557354,0.138586193,-0.028585479
0.925000012,0.975000024,1670,810,0,0,1,0,10,3,25,5.5,0.941330671,2480,-0.060460798,7.816013813,22,0.223143548,-0.283604354,0.138586193
0.595833421,0.742857218,5010,1105,0,0,0,1,10,3.5,20,5.5,0.622401118,6115,-0.474170506,8.718500137,23,-0.060460798,-0.4137097,-0.283604354
0.5,0.430000007,3785,3000,0,0,0,0,10,5,20,3,0.469049364,6785,-0.757047236,8.822469711,24,-0.474170506,-0.28287673,-0.4137097
0.425000012,0.600000024,1940,840,1,0,0,0,15,5.5,35,6,0.477877706,2780,-0.7384004,7.930206299,25,-0.757047236,0.018646836,-0.28287673
0.5,0.25,1680,100,0,1,0,0,15,4,20,6,0.48595506,1780,-0.721639156,7.484368801,26,-0.7384004,0.016761243,0.018646836
0.558333278,0.600000024,1145,965,0,0,1,0,15,3,25,5.5,0.577389419,2110,-0.549238324,7.654443264,27,-0.721639156,0.172400832,0.016761243
0.514285684,0.559090912,2120,2585,0,0,0,1,10,2.5,15,4,0.538902342,4705,-0.618220925,8.456380844,28,-0.549238324,-0.068982601,0.172400832
0.583333373,0.588888884,1690,960,0,0,0,0,10,2.5,15,3,0.585345924,2650,-0.535552263,7.882314682,29,-0.618220925,0.082668662,-0.068982601
