"","Country","GDPpercap","foodexp"
"2","Algeria",3946.452393,639
"4","Argentina",12790.24219,2306
"6","Australia",49881.76563,2927
"8","Austria",45307.58594,2273
"10","Azerbaijan",3880.73877,896
"12","Bahrain",22608.45313,1347
"14","Belarus",5039.682129,962
"16","Belgium",42012.62109,2706
"18","Bolivia",3076.656494,656
"20","Bosnia and Herzegovina",4994.97168,1221
"22","Brazil",8710.063477,833
"24","Bulgaria",7569.479004,876
"26","Cameroon",1413.255981,449
"28","Canada",42315.60547,2168
"30","Chile",13753.5918,1402
"32","China",8094.363281,706
"34","Colombia",5870.777832,646
"36","Costa Rica",12011.22266,2098
"38","Croatia",12527.74023,2164
"40","Czechia",18575.23242,1510
"42","Denmark",54664,2821
"44","Dominican Republic",7280.883789,1389
"46","Ecuador",6060.092773,843
"48","Egypt",3519.873291,921
"50","Estonia",18295.34375,1952
"52","Finland",43814.02734,2757
"54","France",37062.53516,2727
"56","Georgia",4062.169922,817
"58","Germany",42136.12109,2246
"60","Greece",17923.9668,2245
"62","Guatemala",4173.301758,1450
"64","Hong Kong",43731.10547,4423
"66","Hungary",13107.37793,1196
"68","India",1732.554199,311
"70","Indonesia",3562.816406,638
"72","Iran",5253.426758,598
"74","Ireland",62861.64063,1973
"76","Israel",37330.26172,3320
"78","Italy",30960.73242,2664
"80","Japan",39400.73828,3020
"82","Jordan",4175.356445,1080
"84","Kazakhstan",7714.841797,1744
"86","Kenya",1525.235229,634
"88","Kuwait",27653.1582,1604
"90","Latvia",14331.75195,1617
"92","Lithuania",15008.31348,2215
"94","Malaysia",9817.787109,1118
"96","Mexico",8744.515625,1331
"98","Montenegro",7028.936523,1173
"100","Morocco",2896.722168,709
"102","Netherlands",46039.10547,2341
"104","New Zealand",40080.49219,3149
"106","Nigeria",2176.002686,1028
"108","North Macedonia",5149.588867,1108
"110","Norway",70460.5625,3524
"112","Pakistan",1368.427002,490
"114","Peru",6204.996582,1068
"116","Philippines",3073.654785,925
"118","Poland",12447.43945,1181
"120","Portugal",19991.97266,2311
"122","Qatar",57162.96875,1570
"124","Romania",9548.587891,1712
"126","Russia",8704.898438,1305
"128","Saudi Arabia",19878.76367,1664
"130","Serbia",5765.200684,934
"132","Singapore",56848.17578,1297
"134","Slovakia",16512.29297,1581
"136","Slovenia",21678.35938,1821
"138","South Africa",5756.96582,612
"140","South Korea",29288.87109,1683
"142","Spain",26523.34766,2138
"144","Sweden",51965.15625,2820
"146","Switzerland",83073.28125,3631
"148","Thailand",5993.305664,884
"150","Tunisia",3924.363281,618
"152","Turkey",10894.60352,1471
"154","Turkmenistan",6387.682617,1637
"156","Ukraine",2187.730469,539
"158","United Arab Emirates",38141.86719,2950
"160","United Kingdom",41499.55469,1991
"162","United States",58021.40234,2408
"164","Uruguay",16715.63281,1990
"166","Uzbekistan",2704.677246,369
"168","Vietnam",2192.174561,612
