"Country.name","Happiness.score","Log.GDP.per.capita"
"Afghanistan",2.694303274,7.494587898
"Albania",5.004402637,9.412399292
"Algeria",5.043086052,9.557951927
"Argentina",5.792796612,9.809971809
"Armenia",5.062448502,9.119423866
"Australia",7.17699337,10.7210207
"Austria",7.396001816,10.74189281
"Azerbaijan",5.167995453,9.678013802
"Bangladesh",4.499217033,8.22074604
"Belarus",5.233769894,9.778738976
"Belgium",6.89217186,10.6724453
"Benin",5.81982708,7.663907051
"Bolivia",5.915734291,8.860530853
"Bosnia and Herzegovina",5.887401104,9.402726173
"Botswana",3.4613657,9.680226326
"Brazil",6.190921783,9.557932854
"Bulgaria",5.098813534,9.873218536
"Burkina Faso",4.92723608,7.47052002
"Burundi",3.775283098,6.541032791
"Cambodia",5.121837616,8.253352165
"Cameroon",5.250737667,8.133470535
"Canada",7.175496578,10.70124817
"Chad",4.486325264,7.472574711
"Chile",6.436220646,10.06591988
"China",5.131433964,9.694375992
"Colombia",5.983512402,9.511734009
"Comoros",3.972819567,7.260142326
"Congo (Brazzaville)",5.490214348,8.473278999
"Costa Rica",7.141074657,9.669425964
"Croatia",5.536271095,10.06575108
"Czech Republic",7.034165382,10.41947365
"Denmark",7.648785591,10.75559425
"Dominican Republic",5.433215618,9.626997948
"Ecuador",6.128010273,9.27445507
"Egypt",4.005450726,9.293959618
"El Salvador",6.276246071,8.911958694
"Estonia",6.091302395,10.32410717
"Ethiopia",4.379262447,7.524516582
"Finland",7.85810709,10.63605976
"France",6.665903568,10.57335186
"Gabon",4.783009052,9.718316078
"Gambia",4.922099113,7.376553535
"Georgia",4.659097195,9.229100227
"Germany",7.118364334,10.73094463
"Greece",5.40928936,10.13205814
"Guatemala",6.626591682,8.923428535
"Guinea",5.25222683,7.633718014
"Haiti",3.614928007,7.416091919
"Honduras",5.908423901,8.439203262
"India",3.818068743,8.830280304
"Indonesia",5.340295792,9.362827301
"Iran",4.278117657,9.886064529
"Ireland",6.962335587,11.16332817
"Israel",6.92717886,10.4245739
"Italy",6.516526699,10.48051643
"Ivory Coast",5.26837492,8.236133575
"Japan",5.793575287,10.58161831
"Jordan",4.638933659,9.024435043
"Kazakhstan",6.00763607,10.111166
"Kenya",4.655702591,8.03267765
"Kyrgyzstan",5.297383308,8.151305199
"Laos",4.85940218,8.813603401
"Latvia",5.901154041,10.18411732
"Lebanon",5.167186737,9.507958412
"Liberia",4.134852886,6.630169868
"Lithuania",6.308878899,10.33951187
"Luxembourg",7.242630959,11.45392799
"Macedonia",5.239834785,9.503044128
"Madagascar",4.070586681,7.279894829
"Malawi",3.334633589,7.005932331
"Malaysia",5.338817596,10.23550415
"Mali",4.415729523,7.627428055
"Mauritania",4.313615322,8.196549416
"Mauritius",5.88174057,9.956447601
"Mexico",6.549578667,9.769919395
"Moldova",5.682277203,8.592376709
"Mongolia",5.464622974,9.41570282
"Montenegro",5.650189877,9.732954979
"Morocco",4.896791935,8.937397957
"Mozambique",4.653713703,7.039377689
"Myanmar",4.410633087,8.685232162
"Namibia",4.834087849,9.15621376
"Nepal",4.910086632,7.851007462
"Netherlands",7.463097095,10.8092041
"New Zealand",7.370285988,10.50147724
"Nicaragua",5.81895256,8.614512444
"Niger",5.164007187,6.844517708
"Nigeria",5.252288342,8.577632904
"Norway",7.444262028,11.08562565
"Pakistan",5.471553802,8.561663628
"Panama",6.281434059,10.0497303
"Peru",5.679661274,9.434348106
"Philippines",5.869172573,8.985702515
"Portugal",5.919822693,10.26201248
"Romania",6.150878906,10.11209297
"Russia",5.513500214,10.13239002
"Rwanda",3.5610466,7.567531109
"Saudi Arabia",6.356393337,10.79797173
"Senegal",4.769377232,7.850693703
"Serbia",5.936493397,9.584803581
"Sierra Leone",4.305683136,7.26616621
"Slovakia",6.23511076,10.35223579
"Slovenia",6.249419212,10.39720345
"South Africa",4.8839221,9.411724091
"South Korea",5.840231419,10.51157761
"Spain",6.513370991,10.46559429
"Sri Lanka",4.400223255,9.400387764
"Swaziland",4.211565018,8.946770668
"Sweden",7.374792099,10.76693249
"Switzerland",7.508586884,10.97594547
"Tanzania",3.445023298,7.928911209
"Thailand",6.011561871,9.734828949
"Togo",4.022894859,7.287405491
"Tunisia",4.741132259,9.304473877
"Turkey",5.185689449,10.1489172
"Turkmenistan",4.620601654,9.749464035
"Uganda",4.321714878,7.45870924
"Ukraine",4.661909103,9.012026787
"United Arab Emirates",6.603743553,11.12767792
"United Kingdom",7.233445168,10.59694767
"United States",6.882684708,10.92246532
"Uruguay",6.371714592,9.959661484
"Uzbekistan",6.205460072,8.773365021
"Venezuela",5.005663395,9.270280838
"Vietnam",5.295547009,8.783415794
"Zambia",4.041488171,8.223958015
"Zimbabwe",3.616479874,7.553394794
