DALE,HEXP,HC3,OECD,GINI,GEFF,VOICE,TROPICS,POPDEN,PUBTHE,GDPC
63.4349,344.017,8.4766,0,0.381411,0.120032,0.582008,1,81.075,76.7,4648.89
72.4934,1213.6,7.32606,0,0.285139,0.510308,0.615803,0,136.315,86.7,16181.3
37.6295,28.2885,1.35877,0,0.334725,-1.233,-1.616,0,38.8894,40.6,884.016
37.9282,47.1741,2.2486,0,0.444238,-1.39,-1.003,1,936.081,59.6,1310.39
60.1735,63.5321,4.88903,0,0.441193,-0.653,-0.008,0,115.956,77.7,1815.2
65.9875,818.348,4.97681,0,0.3679,0.138,-0.545,0,24.1536,32,19484.5
66.8238,820.766,8.77134,0,0.474325,0.262,0.482,0,1282.28,57.5,10009.4
66.8975,152.893,8.16303,0,0.285139,-0.655,0.019,0,124.177,41.5,1935.35
59.1857,596.454,7.19482,0,0.474325,0.396842,0.635653,1,143.361,57.3,9319.59
71.9358,1609.32,10.458,1,0.341,1.459,1.628,0,224.562,72,20632.3
71.81,1971.07,7.81984,1,0.2235,1.219,1.447,0,96.2575,67.3,21900.7
63.8314,46.8772,6.80623,0,0.285139,-0.833,-0.919,0,90.3573,79.3,1616.46
72.4563,1303.36,7.09071,0,0.285139,0.581301,0.602149,0,34.437,73.5,17378.1
34.6168,25.9249,2.16853,0,0.3223,-1.135,-1.288,1,254.075,35.6,648.122
71.8683,1746.58,9.22409,1,0.2416,0.883,1.436,0,333.02,83.2,21832.2
42.1845,38.5179,1.70824,0,0.444238,-0.066,0.695,1,49.8517,47.2,1283.93
35.5595,37.208,1.86859,0,0.4621,-0.059,-0.213,1,38.2616,30.9,885.904
49.8126,69.5611,2.46411,0,0.3233,-0.565,-0.015,0,880.326,46,1419.61
64.5734,191.752,9.47302,0,0.2743,-0.814,0.603,0,74.9293,81.9,3994.83
64.8365,541.486,5.22398,0,0.3679,0.235,-1.037,0,1217.36,58.5,12306.5
59.1648,1223.83,8.4202,0,0.474325,0.474,1.134,0,22.4571,49.9,20742.8
64.8888,144.87,7.90514,0,0.319462,-1.108,-0.971,0,68.455,92.6,1906.18
61.8451,252.104,8.85618,0,0.2099,-0.659,-0.521,0,50.192,82.6,4272.95
60.9636,212.297,3.89661,0,0.474325,0.554,1.231,1,10.5058,51.6,4516.95
53.3291,154.29,5.58887,0,0.4062,-0.223,0.391,1,597.783,59.1,2660.18
59.2351,426.747,4.15196,0,0.5727,-0.22,0.552,1,1922.86,48.7,6565.34
65.2178,816.205,8.40465,0,0.474325,0.411,1.49,1,602.114,62.5,11180.9
64.8881,850.868,8.04659,0,0.29035,0.009,-0.919,1,53.3581,40.6,15756.8
51.7902,82.0506,2.09785,0,0.343567,-0.572874,-1.254,0,17.4725,46.2,1172.15
32.2766,216.609,4.35412,0,0.441193,0.221,0.779,1,2.64303,61,5157.36
36.0434,33.4796,2.30206,0,0.5894,-0.747,-0.046,1,5.49989,68.9,1154.47
72.2958,1847.96,10.4355,1,0.306,1.717,1.362,0,312.772,72,21487.9
61.717,91.7485,8.4766,0,0.381411,-0.530549,0.0594243,1,99.078,87.6,1609.62
72.7162,2646.44,9.41836,1,0.3188,1.986,1.694,0,172.233,69.3,26202.4
68.8949,583.573,7.26763,0,0.5369,1.166,0.615,0,19.7176,49,9566.77
62.5226,74.832,6.53047,0,0.3889,0.016,-1.296,0,13329.5,24.9,2771.56
43.0076,57.6838,2.45179,0,0.3536,-0.18,-0.569,1,44.4099,38.4,1802.62
42.2691,87.2114,3.65638,0,0.444238,-0.645,-0.703,1,301.281,20.1,1744.23
45.1504,100.86,5.47743,0,0.441193,-0.58,-0.773,1,7.84825,36.6,2017.2
63.0273,508.752,5.30447,0,0.5425,-0.057,-0.12,1,3511.53,54.5,5470.45
46.7749,47.4593,2.91161,0,0.444238,-0.743666,0.061,1,255.036,68.2,1054.65
57.8034,61.0241,3.48272,0,0.444238,0.088,0.986,1,96.098,63.8,2179.43
66.9138,488.617,6.03292,0,0.453,0.554,1.345,1,67.2598,77.1,5616.29
67.3084,109.283,7.9089,0,0.3492,-0.497,-1.461,0,102.65,87.5,1734.65
70.0057,736.745,7.95611,0,0.3679,1.041,1.115,0,80.816,35,12487.2
68.2082,640.196,10.2358,1,0.2432,0.595,1.201,0,136.17,92.3,8423.63
70.6358,2359.23,9.29542,1,0.2899,1.409,1.49,0,230.711,77.5,22468.9
37.8719,47.9199,1.66179,0,0.334725,-0.235,-0.602,1,29.7888,72.9,1711.43
64.2094,286.774,6.45623,0,0.474325,-0.833,-0.078,1,100.847,65,4779.57
69.5666,1941.76,10.7316,1,0.2393,1.721,1.633,0,123.323,84.3,24272
62.5839,203.513,4.98422,0,0.4672,-0.833,-0.078,1,168.313,38.5,4153.33
61.5566,124.238,5.1089,0,0.3416,-1.087,-1.31,0,1262.72,50.8,4007.69
60.9915,187.909,6.57316,0,0.4209,-0.562,0.268,1,46.4688,52.8,4084.99
58.4791,116.803,3.50853,0,0.2784,-0.138,-0.674,0,61.7084,27,3156.84
37.5995,24.323,1.27105,0,0.441193,-0.428,-0.595,1,31.3603,55.7,715.382
72.988,1214.91,7.42451,1,0.3144,1.603,1.338,0,77.5446,70.6,15186.4
63.2501,347.418,8.74629,0,0.3406,0.258,0.789,0,32.6397,78.9,5428.41
33.5108,19.8168,2.02372,0,0.3812,-0.146,-0.5,1,5307.81,36.2,521.495
70.6819,1544.52,9.81313,1,0.2488,1.635,1.602,0,15.6058,73.7,20322.6
59.4824,214.005,8.53254,0,0.381411,0.635,0.013,1,42.0721,69.2,5095.35
73.3399,2118.51,7.32606,1,0.3164,1.28,1.15,0,104.225,76.9,21617.5
59.6518,234.044,7.0232,0,0.381411,-0.110853,0.403525,1,158.098,92.3,3162.75
47.7713,197.187,3.5191,0,0.444238,-1.127,-0.314,1,4.43666,66.5,6572.9
71.8895,1194.26,9.11935,1,0.348,1.966,1.489,0,258.235,96.9,20590.7
66.3896,94.3762,10.426,0,0.319462,-0.512,-0.291,0,77.3663,8.6,2144.91
45.4156,45.3157,4.26308,0,0.3169,-0.287,-0.435,1,79.1566,47,1461.8
37.8093,51.9261,2.53452,0,0.3876,-0.029,-0.873,1,282.259,57.2,1483.6
48.327,52.2259,2.27903,0,0.4556,0.164,-0.971,1,111.071,45.9,1160.58
37.1525,54.0033,1.69066,0,0.5368,-0.334,-0.454,1,34.3516,75.6,947.427
44.0792,88.9006,4.63273,0,0.444238,-1.204,-1.389,1,15.4514,57.2,2540.02
72.7312,966.507,8.46223,1,0.3168,0.56,1.075,0,80.1256,65.8,12081.3
66.0712,296.274,7.35773,0,0.474325,0.0606883,0.325519,1,260.289,46.6,4702.76
54.2969,86.3506,3.51383,0,0.5695,-0.225,-0.565,1,97.5897,62.5,3597.94
60.2705,128.83,6.12696,0,0.3844,0.009,1.01,1,4.03159,79.1,2526.08
61.1465,156.796,4.67632,0,0.5154,-0.409,-0.055,1,53.1067,36,2090.62
67.1317,411.116,8.26118,0,0.2599,0.15,-0.323,0,73.833,79.7,5075.51
45.2707,54.5905,3.49245,0,0.4642,-1.232,-0.709,1,275.884,33.6,1186.75
64.2928,372.99,9.27307,1,0.285,0.606,1.198,0,109.055,84.9,7037.54
59.7439,56.2293,5.44726,0,0.3487,-0.528,-1.165,1,10383.5,36.8,3307.61
53.2372,84.3738,4.98889,0,0.3558,-0.264,0.498,0,29313.1,13,1622.57
69.8207,1207.24,8.48386,1,0.3464,1.361,1.501,0,34.92,77.3,19471.6
60.5901,200.304,4.65651,0,0.3679,-0.339,-0.559,0,3761.5,42.8,4552.37
55.7477,108.935,4.80502,0,0.334725,-1.883,-1.753,0,506.022,58.9,2593.69
70.9579,1764.61,8.58354,1,0.285139,1.504,1.447,0,2.93969,83.8,22336.8
70.6568,1821.05,9.64332,0,0.3434,0.685,1.083,0,278.597,75,17019.2
72.9363,1825.56,7.09071,1,0.26492,0.773,1.287,0,1862.07,57.1,19629.7
67.3679,211.379,5.03521,0,0.3965,-0.484,0.75,1,231.267,56.5,3522.98
60.0795,178.429,6.54693,0,0.3494,0.63,0.153,0,49.3423,67.2,3431.33
74.8271,1753.12,9.3057,1,0.2397,0.839,1.163,0,335.97,80.2,24691.8
56.4999,127.823,7.00788,0,0.3428,-0.824,-0.712,0,579.173,63.6,3277.51
39.2902,57.7387,4.37599,0,0.4274,-0.899,-0.701,1,49.8693,64.1,1255.19
56.3879,66.1262,6.51662,0,0.3905,-0.575,-0.248,0,23.47,69.6,1653.16
45.7428,73.0978,5.09571,0,0.3843,0.337,-0.909,1,58.1493,9.4,1015.25
