"experience","weeks","occupation","industry","south","smsa","married","gender","union","education","ethnicity","wage","year","id"
3,32,"white","no","yes","no",1,"male","no",9,"other",260,"1976","1"
4,43,"white","no","yes","no",1,"male","no",9,"other",305,"1977","1"
5,40,"white","no","yes","no",1,"male","no",9,"other",402,"1978","1"
6,39,"white","no","yes","no",1,"male","no",9,"other",402,"1979","1"
7,42,"white","yes","yes","no",1,"male","no",9,"other",429,"1980","1"
8,35,"white","yes","yes","no",1,"male","no",9,"other",480,"1981","1"
9,32,"white","yes","yes","no",1,"male","no",9,"other",515,"1982","1"
30,34,"blue","no","no","no",1,"male","no",11,"other",475,"1976","2"
31,27,"blue","no","no","no",1,"male","no",11,"other",500,"1977","2"
32,33,"blue","yes","no","no",1,"male","yes",11,"other",525,"1978","2"
33,30,"blue","yes","no","no",1,"male","no",11,"other",695,"1979","2"
34,30,"blue","yes","no","no",1,"male","no",11,"other",810,"1980","2"
35,37,"blue","yes","no","no",1,"male","no",11,"other",890,"1981","2"
36,30,"blue","yes","no","no",1,"male","no",11,"other",912,"1982","2"
6,50,"blue","yes","no","no",1,"male","yes",12,"other",285,"1976","3"
7,51,"blue","yes","no","no",1,"male","yes",12,"other",624,"1977","3"
8,50,"blue","yes","no","no",1,"male","yes",12,"other",698,"1978","3"
9,52,"blue","yes","no","no",1,"male","yes",12,"other",737,"1979","3"
10,52,"blue","yes","no","no",1,"male","yes",12,"other",809,"1980","3"
11,52,"blue","yes","no","no",0,"male","yes",12,"other",879,"1981","3"
12,46,"blue","yes","no","no",0,"male","yes",12,"other",954,"1982","3"
31,52,"blue","no","no","yes",0,"female","no",10,"afam",472,"1976","4"
32,46,"blue","no","no","yes",0,"female","no",10,"afam",512,"1977","4"
33,46,"blue","no","no","yes",0,"female","no",10,"afam",545,"1978","4"
34,49,"blue","no","no","yes",0,"female","no",10,"afam",578,"1979","4"
35,44,"blue","no","no","yes",0,"female","no",10,"afam",645,"1980","4"
36,52,"blue","no","no","yes",0,"female","no",10,"afam",708,"1981","4"
37,46,"blue","no","no","yes",0,"female","no",10,"afam",751,"1982","4"
10,50,"blue","no","no","no",1,"male","yes",16,"other",625,"1976","5"
11,46,"blue","no","no","no",1,"male","yes",16,"other",750,"1977","5"
12,40,"blue","no","no","no",1,"male","yes",16,"other",760,"1978","5"
13,50,"white","no","no","no",1,"male","no",16,"other",1078,"1979","5"
14,47,"blue","no","no","yes",1,"male","no",16,"other",1150,"1980","5"
15,47,"white","no","no","no",1,"male","no",16,"other",1500,"1981","5"
16,49,"white","no","no","no",1,"male","no",16,"other",1474,"1982","5"
26,44,"blue","yes","no","yes",1,"male","no",12,"other",998,"1976","6"
27,47,"blue","yes","no","yes",1,"male","no",12,"other",998,"1977","6"
28,47,"blue","yes","no","yes",1,"male","no",12,"other",1000,"1978","6"
29,47,"blue","yes","no","yes",1,"male","no",12,"other",1100,"1979","6"
30,44,"blue","yes","no","yes",1,"male","no",12,"other",1175,"1980","6"
31,45,"blue","yes","no","yes",1,"male","no",12,"other",1845,"1981","6"
32,47,"blue","yes","no","yes",1,"male","no",12,"other",1539,"1982","6"
15,46,"blue","no","no","no",1,"male","yes",12,"other",461,"1976","7"
16,48,"blue","no","no","no",1,"male","yes",12,"other",480,"1977","7"
17,49,"blue","no","no","no",1,"male","yes",12,"other",499,"1978","7"
18,46,"blue","no","no","no",1,"male","yes",12,"other",552,"1979","7"
19,47,"blue","no","no","no",1,"male","yes",12,"other",587,"1980","7"
20,47,"blue","no","no","no",1,"male","yes",12,"other",630,"1981","7"
21,48,"blue","no","no","no",1,"male","yes",12,"other",680,"1982","7"
23,51,"blue","yes","yes","no",1,"male","yes",10,"other",562,"1976","8"
24,50,"blue","yes","yes","no",1,"male","yes",10,"other",604,"1977","8"
25,50,"blue","yes","yes","no",1,"male","yes",10,"other",695,"1978","8"
26,50,"blue","yes","yes","no",1,"male","yes",10,"other",708,"1979","8"
27,44,"blue","yes","no","yes",1,"male","yes",10,"other",729,"1980","8"
28,51,"blue","yes","no","yes",1,"male","yes",10,"other",914,"1981","8"
29,51,"blue","yes","no","yes",1,"male","yes",10,"other",984,"1982","8"
3,50,"white","no","yes","yes",1,"male","no",16,"other",700,"1976","9"
4,48,"white","no","yes","yes",1,"male","no",16,"other",700,"1977","9"
5,50,"white","no","yes","yes",1,"male","no",16,"other",900,"1978","9"
6,48,"white","no","yes","yes",1,"male","no",16,"other",1000,"1979","9"
7,48,"white","no","yes","yes",1,"male","no",16,"other",1200,"1980","9"
8,44,"white","no","yes","yes",1,"male","no",16,"other",1300,"1981","9"
9,48,"white","no","yes","yes",1,"male","no",16,"other",1350,"1982","9"
3,49,"white","no","yes","yes",1,"male","no",16,"other",600,"1976","10"
4,47,"white","no","yes","yes",1,"male","no",16,"other",625,"1977","10"
5,46,"white","no","yes","yes",1,"male","no",16,"other",625,"1978","10"
6,44,"white","no","yes","yes",1,"male","no",16,"other",625,"1979","10"
7,43,"white","no","yes","yes",1,"male","no",16,"other",680,"1980","10"
8,34,"white","no","yes","yes",1,"male","no",16,"other",745,"1981","10"
9,40,"white","no","yes","yes",1,"male","no",16,"other",845,"1982","10"
24,47,"blue","no","no","yes",0,"male","yes",12,"other",779,"1976","11"
25,48,"blue","no","no","yes",0,"male","yes",12,"other",834,"1977","11"
26,45,"blue","no","no","yes",0,"male","yes",12,"other",900,"1978","11"
27,45,"blue","no","no","yes",1,"male","yes",12,"other",1000,"1979","11"
28,47,"blue","no","no","yes",1,"male","yes",12,"other",1141,"1980","11"
29,17,"blue","no","no","yes",1,"male","yes",12,"other",1246,"1981","11"
30,47,"blue","no","no","yes",1,"male","yes",12,"other",1400,"1982","11"
21,47,"blue","no","yes","yes",1,"male","yes",12,"other",700,"1976","12"
22,46,"blue","no","yes","yes",1,"male","yes",12,"other",757,"1977","12"
23,47,"blue","no","yes","yes",1,"male","yes",12,"other",831,"1978","12"
24,47,"blue","no","yes","yes",1,"male","yes",12,"other",840,"1979","12"
25,47,"blue","no","yes","yes",1,"male","yes",12,"other",831,"1980","12"
26,47,"blue","no","yes","yes",1,"male","yes",12,"other",1045,"1981","12"
27,46,"blue","no","yes","yes",1,"male","yes",12,"other",1156,"1982","12"
26,48,"blue","no","yes","yes",1,"male","no",12,"other",998,"1976","13"
27,48,"blue","no","yes","yes",1,"male","no",12,"other",993,"1977","13"
28,50,"blue","no","yes","yes",1,"male","no",12,"other",1300,"1978","13"
29,48,"blue","no","yes","yes",1,"male","no",12,"other",1430,"1979","13"
30,48,"blue","no","yes","yes",1,"male","no",12,"other",1421,"1980","13"
31,46,"white","no","yes","yes",1,"male","no",12,"other",1415,"1981","13"
32,46,"blue","no","yes","yes",1,"male","no",12,"other",1636,"1982","13"
15,45,"white","no","yes","yes",1,"male","no",17,"other",900,"1976","14"
16,45,"white","no","yes","yes",1,"male","no",17,"other",900,"1977","14"
17,45,"white","no","yes","yes",1,"male","no",17,"other",1018,"1978","14"
18,44,"white","no","yes","yes",1,"male","no",17,"other",1100,"1979","14"
19,44,"white","no","yes","yes",1,"male","no",17,"other",1250,"1980","14"
20,44,"white","no","yes","yes",1,"male","no",17,"other",1242,"1981","14"
21,44,"white","no","yes","yes",1,"male","no",17,"other",1240,"1982","14"
9,50,"white","no","no","no",0,"female","no",14,"other",380,"1976","15"
10,46,"white","no","no","no",0,"female","no",14,"other",351,"1977","15"
11,48,"white","no","no","no",0,"female","no",14,"other",403,"1978","15"
12,46,"white","no","no","no",0,"female","no",14,"other",439,"1979","15"
13,48,"white","no","no","no",0,"female","no",14,"other",599,"1980","15"
14,41,"white","no","no","no",0,"female","no",14,"other",650,"1981","15"
15,48,"white","no","no","no",0,"female","no",14,"other",650,"1982","15"
16,50,"blue","no","yes","yes",0,"female","no",12,"afam",395,"1976","16"
17,50,"blue","no","yes","yes",0,"female","no",12,"afam",325,"1977","16"
18,48,"blue","no","yes","yes",0,"female","no",12,"afam",350,"1978","16"
19,48,"blue","no","yes","yes",0,"female","no",12,"afam",385,"1979","16"
20,50,"blue","no","yes","yes",0,"female","no",12,"afam",467,"1980","16"
21,50,"blue","no","yes","yes",0,"female","no",12,"afam",481,"1981","16"
22,49,"blue","no","yes","yes",0,"female","no",12,"afam",595,"1982","16"
16,49,"white","yes","no","no",1,"male","no",14,"other",750,"1976","17"
17,48,"white","yes","no","no",1,"male","no",14,"other",660,"1977","17"
18,49,"white","yes","no","no",1,"male","no",14,"other",880,"1978","17"
19,50,"white","yes","no","no",1,"male","no",14,"other",850,"1979","17"
20,51,"white","yes","no","no",1,"male","no",14,"other",1200,"1980","17"
21,46,"white","yes","no","no",1,"male","no",14,"other",1250,"1981","17"
22,47,"white","yes","no","no",1,"male","no",14,"other",1250,"1982","17"
25,47,"white","yes","yes","yes",1,"male","no",16,"other",998,"1976","18"
26,46,"white","yes","yes","yes",1,"male","no",16,"other",998,"1977","18"
27,47,"white","yes","yes","yes",1,"male","no",16,"other",2000,"1978","18"
28,47,"white","yes","yes","yes",1,"male","no",16,"other",2100,"1979","18"
29,47,"white","yes","yes","yes",1,"male","no",16,"other",2250,"1980","18"
30,48,"white","yes","yes","yes",1,"male","no",16,"other",2400,"1981","18"
31,47,"white","yes","yes","yes",1,"male","no",16,"other",2450,"1982","18"
40,37,"blue","yes","no","yes",1,"male","yes",12,"other",594,"1976","19"
41,49,"blue","yes","no","yes",1,"male","yes",12,"other",648,"1977","19"
42,50,"blue","yes","no","yes",1,"male","yes",12,"other",694,"1978","19"
43,47,"blue","yes","no","yes",1,"male","yes",12,"other",793,"1979","19"
44,47,"blue","yes","no","yes",1,"male","yes",12,"other",847,"1980","19"
45,25,"blue","yes","no","yes",1,"male","yes",12,"other",927,"1981","19"
46,40,"blue","yes","no","yes",1,"male","yes",12,"other",1029,"1982","19"
25,50,"white","no","no","no",1,"male","no",16,"other",883,"1976","20"
26,49,"white","yes","no","no",1,"male","no",16,"other",951,"1977","20"
27,49,"white","yes","no","no",1,"male","no",16,"other",1080,"1978","20"
28,48,"white","yes","no","no",1,"male","no",16,"other",1162,"1979","20"
29,48,"white","yes","no","no",1,"male","no",16,"other",1347,"1980","20"
30,49,"white","yes","no","no",1,"male","no",16,"other",1224,"1981","20"
31,48,"white","yes","no","no",1,"male","no",16,"other",1432,"1982","20"
28,42,"blue","yes","yes","no",1,"male","yes",4,"other",428,"1976","21"
29,46,"blue","yes","yes","no",1,"male","yes",4,"other",425,"1977","21"
30,49,"blue","yes","yes","no",1,"male","yes",4,"other",400,"1978","21"
31,49,"blue","yes","yes","no",1,"male","yes",4,"other",500,"1979","21"
32,48,"blue","no","yes","no",1,"male","yes",4,"other",558,"1980","21"
33,45,"blue","no","yes","no",1,"male","yes",4,"other",628,"1981","21"
34,42,"blue","yes","yes","no",1,"male","yes",4,"other",628,"1982","21"
20,46,"white","no","no","no",1,"male","no",14,"other",735,"1976","22"
21,45,"white","no","no","no",1,"male","no",14,"other",735,"1977","22"
22,44,"white","no","no","no",1,"male","no",14,"other",800,"1978","22"
23,46,"white","no","no","no",1,"male","no",14,"other",835,"1979","22"
24,47,"white","no","no","no",1,"male","no",14,"other",975,"1980","22"
25,51,"white","yes","no","no",1,"male","no",14,"other",1050,"1981","22"
26,47,"white","no","no","no",1,"male","no",14,"other",1150,"1982","22"
11,50,"white","no","no","yes",1,"male","no",16,"other",998,"1976","23"
12,50,"white","no","no","yes",1,"male","no",16,"other",998,"1977","23"
13,51,"white","no","no","yes",1,"male","no",16,"other",1800,"1978","23"
14,50,"white","no","no","yes",1,"male","no",16,"other",2125,"1979","23"
15,48,"white","no","no","yes",1,"male","no",16,"other",2600,"1980","23"
16,47,"white","no","no","yes",1,"male","no",16,"other",3100,"1981","23"
17,50,"white","no","no","yes",1,"male","no",16,"other",2680,"1982","23"
5,30,"white","no","no","no",0,"female","no",12,"other",230,"1976","24"
6,51,"white","no","no","no",0,"female","no",12,"other",250,"1977","24"
7,51,"blue","no","no","no",0,"female","no",12,"other",265,"1978","24"
8,52,"blue","no","no","no",0,"female","no",12,"other",290,"1979","24"
9,49,"blue","no","no","no",0,"female","no",12,"other",310,"1980","24"
10,51,"blue","no","no","no",0,"female","yes",12,"other",345,"1981","24"
11,50,"blue","no","no","no",0,"female","no",12,"other",350,"1982","24"
8,37,"white","no","no","yes",1,"male","yes",17,"other",685,"1976","25"
9,39,"white","no","no","yes",1,"male","yes",17,"other",720,"1977","25"
10,40,"white","no","no","yes",1,"male","yes",17,"other",825,"1978","25"
11,38,"white","no","no","yes",1,"male","yes",17,"other",800,"1979","25"
12,38,"white","no","no","yes",1,"male","yes",17,"other",890,"1980","25"
13,39,"white","no","no","yes",1,"male","yes",17,"other",1070,"1981","25"
14,41,"white","no","no","yes",1,"male","yes",17,"other",1000,"1982","25"
14,48,"white","yes","yes","yes",1,"male","no",15,"other",650,"1976","26"
15,47,"blue","yes","yes","yes",1,"male","no",15,"other",700,"1977","26"
16,49,"white","yes","yes","yes",1,"male","no",15,"other",960,"1978","26"
17,48,"white","yes","yes","yes",1,"male","no",15,"other",950,"1979","26"
18,47,"white","yes","yes","yes",1,"male","no",15,"other",1450,"1980","26"
19,47,"white","yes","yes","yes",1,"male","no",15,"other",1900,"1981","26"
20,48,"white","yes","yes","yes",1,"male","no",15,"other",1583,"1982","26"
8,50,"white","no","no","yes",0,"male","no",16,"other",410,"1976","27"
9,52,"white","no","no","yes",0,"male","no",16,"other",998,"1977","27"
10,48,"white","no","no","no",0,"male","no",16,"other",1150,"1978","27"
11,50,"white","no","no","no",0,"male","no",16,"other",1425,"1979","27"
12,50,"white","no","no","no",0,"male","no",16,"other",1200,"1980","27"
13,45,"white","no","no","no",0,"male","no",16,"other",1057,"1981","27"
14,23,"white","no","no","no",0,"male","no",16,"other",1500,"1982","27"
26,50,"blue","no","no","yes",1,"male","no",12,"other",840,"1976","28"
27,50,"blue","no","no","yes",1,"male","no",12,"other",810,"1977","28"
28,50,"blue","no","no","yes",1,"male","no",12,"other",800,"1978","28"
29,50,"blue","no","no","yes",1,"male","no",12,"other",850,"1979","28"
30,50,"blue","no","no","yes",1,"male","no",12,"other",838,"1980","28"
31,49,"blue","no","no","yes",1,"male","no",12,"other",900,"1981","28"
32,49,"blue","no","no","yes",1,"male","no",12,"other",850,"1982","28"
31,49,"white","no","no","yes",1,"male","no",14,"other",998,"1976","29"
32,49,"white","no","no","yes",1,"male","no",14,"other",998,"1977","29"
33,49,"white","no","no","yes",1,"male","no",14,"other",1167,"1978","29"
34,49,"white","no","no","yes",1,"male","no",14,"other",1950,"1979","29"
35,50,"white","no","no","yes",1,"male","no",14,"other",2150,"1980","29"
36,49,"white","no","no","yes",1,"male","no",14,"other",1760,"1981","29"
37,49,"white","no","no","yes",1,"male","no",14,"other",1920,"1982","29"
17,47,"white","no","yes","yes",0,"female","no",12,"other",491,"1976","30"
18,47,"white","no","yes","yes",0,"female","no",12,"other",544,"1977","30"
19,48,"white","no","yes","yes",0,"female","no",12,"other",562,"1978","30"
20,49,"white","no","yes","yes",0,"female","no",12,"other",580,"1979","30"
21,49,"white","no","yes","yes",0,"female","no",12,"other",653,"1980","30"
22,45,"white","no","yes","yes",0,"female","no",12,"other",719,"1981","30"
23,49,"white","no","yes","yes",0,"female","no",12,"other",768,"1982","30"
22,48,"white","yes","no","yes",1,"male","no",17,"other",998,"1976","31"
23,48,"white","yes","no","yes",1,"male","no",17,"other",998,"1977","31"
24,48,"white","yes","no","yes",1,"male","no",17,"other",1500,"1978","31"
25,47,"white","yes","no","yes",1,"male","no",17,"other",1400,"1979","31"
26,43,"white","yes","no","yes",1,"male","no",17,"other",1780,"1980","31"
27,47,"white","no","no","yes",1,"male","no",17,"other",1900,"1981","31"
28,45,"white","yes","no","yes",1,"male","no",17,"other",2025,"1982","31"
30,50,"white","yes","no","yes",1,"male","no",16,"other",998,"1976","32"
31,49,"white","yes","no","yes",1,"male","no",16,"other",998,"1977","32"
32,49,"white","yes","no","yes",1,"male","no",16,"other",1750,"1978","32"
33,48,"white","yes","no","yes",1,"male","no",16,"other",1650,"1979","32"
34,49,"white","yes","no","yes",1,"male","no",16,"other",2010,"1980","32"
35,47,"white","yes","no","yes",1,"male","no",16,"other",3130,"1981","32"
36,47,"white","yes","no","yes",1,"male","no",16,"other",2300,"1982","32"
14,51,"white","no","no","yes",1,"male","no",16,"other",998,"1976","33"
15,47,"white","no","no","yes",1,"male","no",16,"other",998,"1977","33"
16,51,"white","no","no","yes",1,"male","no",16,"other",1300,"1978","33"
17,47,"white","no","no","yes",1,"male","no",16,"other",1450,"1979","33"
18,48,"white","no","no","yes",1,"male","no",16,"other",1395,"1980","33"
19,50,"white","no","no","yes",1,"male","no",16,"other",1600,"1981","33"
20,49,"white","no","no","yes",1,"male","no",16,"other",1750,"1982","33"
45,48,"blue","no","yes","no",1,"male","no",8,"other",317,"1976","34"
46,48,"blue","no","yes","no",1,"male","no",8,"other",351,"1977","34"
47,48,"blue","no","yes","no",1,"male","no",8,"other",338,"1978","34"
48,49,"blue","no","yes","no",1,"male","no",8,"other",383,"1979","34"
49,50,"blue","no","yes","no",1,"male","no",8,"other",517,"1980","34"
50,48,"blue","no","yes","no",1,"male","no",8,"other",496,"1981","34"
51,46,"blue","no","yes","no",1,"male","no",8,"other",397,"1982","34"
8,30,"blue","no","no","yes",1,"male","yes",13,"afam",675,"1976","35"
9,49,"blue","yes","no","yes",1,"male","yes",13,"afam",743,"1977","35"
10,48,"blue","yes","no","yes",1,"male","yes",13,"afam",600,"1978","35"
11,49,"blue","yes","no","yes",1,"male","yes",13,"afam",856,"1979","35"
