daded,momed,sinmom14,black,wage,iqscore,exp,ed
8,8,no,no,481,93,9,12
14,12,no,no,721,103,16,12
11,12,no,no,250,88,10,11
8,7,no,no,729,108,16,12
9,12,no,no,500,85,8,12
14,14,no,no,565,119,9,18
14,14,no,no,608,108,9,14
12,12,no,no,425,96,10,12
12,12,no,no,515,97,11,12
11,12,no,no,225,84,13,9
11,6,no,no,400,89,8,12
11,6,no,no,417,93,7,11
11,6,no,no,217,74,13,11
9.94,8,yes,yes,894,116,9,16
12,8,no,no,346,93,16,12
9.94,12,yes,no,658,100,9,14
8,8,no,no,575,91,10,10
8,8,no,no,649,88,14,12
9.94,8,no,no,614,114,10,18
5,14,no,no,726,111,11,15
11,12,no,no,693,95,14,12
14,13,no,no,1400,132,10,18
16,16,no,no,1800,109,8,18
11,12,no,no,413,108,7,12
9.94,16,yes,no,632,102,9,14
12,12,no,no,208,106,7,12
9.94,11,yes,yes,457,104,7,12
10,10,no,no,824,119,2,16
9.94,12,yes,no,577,122,10,18
6,10,no,no,255,90,11,11
12,12,no,no,962,118,8,16
8,6,no,no,944,105,15,10
6,12,no,yes,235,65,7,11
11,10,no,no,1000,120,16,12
9.94,12,yes,no,481,86,11,9
10,12,no,no,624,109,11,15
8,10,no,no,650,72,17,11
12,11,no,no,353,101,6,12
9.94,12,yes,no,659,105,6,13
10,11,no,no,440,101,7,12
12,10,no,yes,738,96,8,12
9.94,8,yes,no,705,101,9,12
10,12,no,no,425,91,9,12
12,12,no,no,538,115,8,16
12,12,no,no,740,113,10,16
10,10,no,no,769,95,16,12
10,10,no,no,592,102,6,12
12,12,no,no,1563,145,12,16
11,11,no,no,774,114,6,16
8,9,no,no,600,113,8,12
8,12,no,no,570,93,12,13
12,12,no,no,538,119,7,15
12,9,no,no,627,108,7,12
6,11,no,no,545,72,8,12
12,9,no,no,576,86,7,12
14,12,no,no,700,123,3,16
12,12,no,no,788,103,6,16
12,12,no,no,1012,101,4,17
10,12,no,no,500,95,8,12
8,6,no,no,550,98,14,11
8,8,no,no,810,115,7,18
9.94,9,yes,yes,313,60,10,12
9.94,4,yes,no,731,135,1,18
14,11,no,no,817,102,7,16
15,12,no,no,865,91,10,14
12,12,no,no,350,104,7,15
16,16,no,no,505,97,13,13
12,13,no,no,816,125,7,17
14,12,no,no,625,123,2,18
16,16,no,no,769,128,8,18
9.94,8,yes,no,650,103,12,12
10,12,no,no,769,130,4,18
10,12,no,no,512,97,8,12
12,13,no,no,625,132,7,18
12,12,no,no,1111,98,11,14
12,12,no,no,721,108,9,13
13,12,no,no,1154,107,12,14
18,18,no,no,827,129,10,18
14,17,no,no,1076,132,5,17
9.94,8,no,no,625,101,15,12
9.94,8,yes,no,460,92,8,13
8,12,no,yes,900,108,4,14
8,9,no,no,682,132,5,18
12,15,no,no,625,106,8,13
12,12,no,no,1005,123,8,18
9,11,no,no,725,109,7,11
8,11,no,no,750,103,6,15
9.94,8,no,no,529,108,9,14
8,12,no,no,972,122,6,17
12,12,no,no,472,109,8,12
12,12,no,no,325,102,6,12
9.94,12,no,no,875,109,16,12
9,10,no,no,625,100,15,13
8,10,no,no,337,93,8,12
5,5,no,no,481,115,5,16
15,14,no,no,962,125,6,18
13,12,no,no,615,106,7,16
12,12,no,no,702,113,8,14
9.94,12,no,no,635,122,11,14
10,10,no,no,817,116,9,12
9.94,12,yes,no,577,116,6,14
12,12,no,no,466,105,3,17
12,12,no,no,635,113,8,14
12,12,no,no,705,94,7,16
12,9,no,no,635,103,8,14
9.94,12,no,no,694,102,12,12
10,12,no,no,615,109,15,13
15,10,no,no,462,130,4,16
12,12,no,no,865,105,16,12
12,12,no,no,737,134,9,18
9.94,7,yes,no,808,105,13,12
11,12,no,no,654,104,4,16
9.94,12,yes,no,300,112,7,12
8,10,no,no,577,115,8,16
8,8,no,no,594,117,7,18
12,8,no,no,325,114,3,17
12,12,no,no,1000,107,1,18
8,11,no,no,465,120,4,18
16,18,no,no,440,131,6,16
