year,partner,exports,gdp,distance
2007,Newfoundland and Labrador,143.7,34658,3221
2008,Newfoundland and Labrador,149.5,34137,3221
2009,Newfoundland and Labrador,157.7,30714,3221
2010,Newfoundland and Labrador,118.6,32386,3221
2011,Newfoundland and Labrador,127.1,33271,3221
2012,Newfoundland and Labrador,155.8,31815,3221
2013,Newfoundland and Labrador,112.8,33486,3221
2014,Newfoundland and Labrador,121.8,33096,3221
2015,Newfoundland and Labrador,108.5,32709,3221
2016,Newfoundland and Labrador,130.2,33201,3221
2017,Newfoundland and Labrador,130.2,33689,3221
2018,Newfoundland and Labrador,124.5,32836,3221
2019,Newfoundland and Labrador,120.3,34157,3221
2020,Newfoundland and Labrador,122.4,32512,3221
2021,Newfoundland and Labrador,122.8,32836,3221
2022,Newfoundland and Labrador,389.1,32488,3221
2007,Prince Edward Island,28.6,5748,2537
2008,Prince Edward Island,44.5,5807,2537
2009,Prince Edward Island,33.7,5842,2537
2010,Prince Edward Island,35.5,5957,2537
2011,Prince Edward Island,34.6,6085,2537
2012,Prince Edward Island,36.6,6148,2537
2013,Prince Edward Island,44.3,6256,2537
2014,Prince Edward Island,49.6,6263,2537
2015,Prince Edward Island,42.7,6351,2537
2016,Prince Edward Island,43.9,6487,2537
2017,Prince Edward Island,48.9,6791,2537
2018,Prince Edward Island,46.9,6906,2537
2019,Prince Edward Island,51.1,7222,2537
2020,Prince Edward Island,56.9,7003,2537
2021,Prince Edward Island,61.4,7552,2537
2022,Prince Edward Island,68.5,7940,2537
2007,Nova Scotia,192,39439,2575
2008,Nova Scotia,227.3,40219,2575
2009,Nova Scotia,193.9,40363,2575
2010,Nova Scotia,224.3,41458,2575
2011,Nova Scotia,227.6,41732,2575
2012,Nova Scotia,242.6,41327,2575
2013,Nova Scotia,243.4,41189,2575
2014,Nova Scotia,235.5,41589,2575
2015,Nova Scotia,190.3,41868,2575
2016,Nova Scotia,204.3,42531,2575
2017,Nova Scotia,234.8,43314,2575
2018,Nova Scotia,213.1,44077,2575
2019,Nova Scotia,224.6,45586,2575
2020,Nova Scotia,242.4,43513,2575
2021,Nova Scotia,234.8,46290,2575
2022,Nova Scotia,267.8,48663,2575
2007,New Brunswick,171.5,34342,2297
2008,New Brunswick,240.8,34606,2297
2009,New Brunswick,168,34105,2297
2010,New Brunswick,193.8,34783,2297
2011,New Brunswick,197.1,34876,2297
2012,New Brunswick,203.7,34507,2297
2013,New Brunswick,137.4,34414,2297
2014,New Brunswick,133.5,34454,2297
2015,New Brunswick,154.3,34679,2297
2016,New Brunswick,170.3,34959,2297
2017,New Brunswick,179,35828,2297
2018,New Brunswick,171.3,36218,2297
