wage,university,female,age
37.66538,1,0,30
22.23077,1,1,30
16.68626,0,1,30
22.23077,1,1,30
21.78077,1,0,25
41.66154,1,1,32
37.00385,1,0,33
12.815385,0,0,32
10.95,0,1,30
22.23077,0,0,30
11.784615,0,1,27
22.43077,1,1,32
26.17692,1,1,31
16.06154,0,0,26
18.68461,1,1,33
12.865385,0,1,33
29.10385,1,0,29
20.24186,1,1,28
11.463462,0,1,31
11.525,0,0,34
29.39231,1,0,29
9.171719,0,1,30
16.64231,1,1,27
8.669231,0,0,29
51.42692,1,0,33
31.54615,1,1,27
12.115385,0,0,25
15.19615,1,1,26
16.4,0,0,29
17.72308,1,1,33
24.45385,0,0,33
26.22692,1,0,31
5.592657,1,0,32
16.03077,1,0,30
50.51117,1,0,33
7.482693,0,0,33
21.8,1,0,30
16.54231,0,0,26
17.67308,1,0,32
27.03846,1,1,30
22.28077,1,0,30
20.31255,1,1,26
45.53846,1,0,27
17.65,1,0,26
10.892307,0,0,32
31.54615,1,1,27
18.31539,0,1,25
10.673077,0,0,25
20.75769,1,0,34
21.42885,1,1,34
14.88846,1,0,33
32.14615,0,0,33
14.53846,0,0,30
11.784615,0,1,27
16.61154,0,1,32
19.01539,1,0,31
17.46539,1,0,28
28.2,0,0,32
13.83385,0,0,26
13.34615,1,0,32
15.95,1,0,34
13.91111,1,1,28
19.82692,0,0,30
34.83077,1,1,31
27.1915,1,1,29
12.098077,0,0,33
17.09231,0,1,32
13.25641,1,1,30
9.6,0,1,34
16.92308,1,1,25
10.030769,1,1,33
18.86923,0,0,31
20.47659,0,0,25
17.42308,0,0,30
14.51923,0,0,25
23.975,0,0,34
21.9,0,1,32
22.03077,0,0,28
50.87692,1,1,28
5.684615,0,0,28
12.915385,0,0,33
15.11581,1,0,31
22.43077,0,0,32
17.12308,1,1,27
18.18461,0,0,28
18.53627,1,0,28
12.715385,0,0,31
23.99899,0,1,33
27.3915,0,0,31
17.96823,1,1,25
24.87802,1,1,29
18.63461,0,1,33
35.45128,1,1,34
20.25769,1,0,29
8.769231,1,1,30
15.65,1,0,31
26.42692,1,0,33
24.23461,1,1,26
22.94231,1,0,27
20.78846,0,0,30
20.81923,1,0,25
22.13077,0,0,29
15.75,0,1,33
23.82308,0,1,32
29.84231,0,0,34
16.86154,0,0,34
41.09231,0,0,34
21.55,0,0,28
18.6537,0,1,25
26.95769,1,1,34
23.01154,1,1,33
24.55385,0,0,34
30.55385,1,0,31
24.46752,1,1,31
17.57308,0,1,32
16.34786,0,0,31
5.755128,0,1,26
16.52115,1,1,33
10.76282,1,0,27
18.08461,1,1,27
10.7,0,0,32
11.1,0,0,31
16.61154,0,1,32
15.73077,1,0,27
21.80048,1,0,30
31.44615,0,0,26
13.47692,1,1,29
19.93297,1,1,29
13.01667,0,0,26
17.18626,1,0,34
19.78654,0,0,32
14.78846,1,0,32
27.75,1,0,27
19.475,1,1,26
17.12308,1,1,27
9.234694,1,1,25
17.02308,1,1,26
16.40192,1,1,27
21.01154,1,0,25
16.78077,1,0,25
32.29423,1,1,34
31.64615,1,1,28
23.49231,0,0,33
15,0,0,25
26.95427,1,0,34
15.78077,0,0,28
27.14615,1,1,33
19.79047,0,1,27
17.42308,0,0,30
17.47308,1,0,30
13.73956,1,1,33
10.080769,1,0,33
29.31154,1,0,33
31.56539,1,1,32
10.65,0,1,32
20.49872,1,0,25
9.761538,0,1,26
25.11539,0,0,30
24.96539,1,0,28
28.42472,1,0,31
22.38077,0,1,32
23.15439,0,1,26
29.67308,1,0,27
11.092307,0,0,34
39.50769,1,0,34
12.8,0,0,33
30.62778,0,1,29
24.10172,1,0,25
7.525,0,1,32
17.53571,1,0,32
12.95641,1,1,27
17.07308,1,0,26
24.68461,1,0,30
14.03901,1,0,30
11.734615,1,1,26
17.42308,1,1,30
16.86126,1,0,28
14.93846,0,0,34
21.61502,0,0,33
39.15769,1,1,31
15.88077,0,0,29
8.369231,0,0,26
20.76559,0,0,28
12.277404,1,1,33
11.553846,0,0,29
17.19615,0,1,34
22.15,0,0,34
24.725,1,0,28
22.63077,0,0,34
13.82692,0,1,33
21.61154,1,0,31
15.41923,0,0,34
12.822115,1,1,32
8.7,0,0,32
31.44808,1,0,26
15.35,0,1,29
17.19414,1,1,30
5.65,0,1,32
15.6,0,0,31
24.63461,1,1,30
13.44615,0,1,34
9.680769,0,1,30
16.02051,0,0,32
17.82308,1,1,34
12.84615,0,1,28
30.52778,1,0,27
14.86923,0,1,29
21.2247,1,1,25
16.92308,0,0,25
21.98077,1,0,27
10.841758,1,1,26
17.82308,0,0,34
24.12308,1,0,34
41.91154,1,0,34
12.515385,0,0,29
11.023077,1,0,28
19.45577,0,1,34
17.55043,0,0,27
46.83974,1,0,32
30.22253,1,0,27
14.34615,0,1,33
24.88461,1,0,32
19.44615,0,0,31
31.59615,0,1,28
25.36923,1,0,33
13.27692,0,0,27
45.91923,0,1,27
31.79615,1,0,29
19.45385,0,0,33
33.18846,1,1,29
18.975,1,0,33
42.61569,1,1,34
23.54231,0,1,34
13.1515,0,0,27
32.76453,1,0,28
33.84872,0,0,34
18.68461,0,0,33
24.63461,0,0,30
20.41539,0,0,33
18.33461,0,1,30
13.5836,0,1,25
11.092307,0,0,34
25.41539,1,1,33
32.86453,1,0,29
17.23601,1,0,32
5.434615,1,0,25
28.6102,0,0,31
15.78077,1,1,28
18.4625,1,0,28
21.93077,1,1,27
20.38846,1,1,26
22.94231,1,0,27
16.12051,0,0,33
18.25385,0,1,34
25.1359,1,1,27
34.11923,1,0,33
48.87885,1,0,33
28.68077,1,1,32
32.75,1,0,27
31.26154,1,1,28
10.983333,0,1,27
24.8581,1,0,33
13.39615,1,1,33
14.56923,0,1,26
16.13077,1,0,31
17.22308,1,1,28
14.15769,1,1,31
16.22051,1,1,34
18.35726,1,1,34
24.29017,1,0,33
16.56154,1,1,31
17.6,0,0,26
43.53462,1,0,31
15.48077,1,1,25
37.00385,1,0,33
22.23077,1,1,30
12.365385,0,1,28
16.93461,0,0,28
12.915385,0,0,33
22.48077,1,0,32
17.04615,0,0,32
14.15769,1,1,31
18.72885,0,0,32
15.40769,0,0,31
14.92518,0,1,34
23.64231,1,0,34
19.47647,1,1,33
20.01154,1,1,28
21.31923,0,1,31
19.32692,0,0,25
14.43846,1,1,29
10.492307,0,0,28
34.25,0,0,30
29.70385,1,1,34
15.84524,0,1,28
28.49103,1,0,28
25.30769,1,1,30
13.34615,0,1,33
18.08461,0,0,27
22.66783,1,1,30
14.61923,1,1,26
24.34487,1,0,25
20.7,1,1,32
18.63461,1,0,32
32.52692,1,1,32
21.03846,1,0,32
43.65612,1,0,33
23.95385,1,1,28
15.97051,1,0,31
28,1,1,30
31,1,1,30
35.59231,1,1,29
10.95,0,1,34
17.0056,0,0,30
28.15,1,0,31
17.17308,1,0,27
11.934615,0,0,28
13.98901,0,0,30
17.90726,1,0,29
14.66923,0,1,27
30.83461,1,0,29
14.83846,0,0,33
34.5,1,0,32
5.136752,0,0,30
22.53077,1,1,33
17.22308,1,1,28
17.57308,1,0,31
19.9774,1,1,29
25.16539,1,0,30
20.99872,1,0,30
22.03077,1,1,28
16.16397,1,1,25
23.05812,1,1,34
18.08461,1,1,27
10.778632,1,1,33
22.83547,1,0,27
12.55,0,1,26
15.91923,1,0,26
14.05769,0,0,30
42.31282,1,0,30
32.09615,1,0,32
17.32308,0,0,29
19.11539,0,1,33
13.02692,0,1,25
14.06923,1,1,33
19.67692,0,1,29
37.05385,1,1,34
19.63297,1,1,26
12.815385,1,1,32
16.51154,0,1,31
20.50769,0,0,32
30.80385,1,1,34
14.24467,0,1,32
21.56923,0,0,33
20.93846,1,0,31
22.23077,0,0,30
19.10192,1,1,29
21.98077,1,0,27
20.86923,1,1,26
22.68077,1,0,34
18.1,0,0,31
27.46539,1,0,28
30.87253,0,0,34
19.32393,1,1,27
49.45385,1,1,33
22.33077,0,0,31
20.83846,0,1,31
16.54231,1,1,26
12.85641,1,1,26
11.261538,0,0,33
9.976744,0,0,30
7.607693,0,0,28
15.4,0,0,29
9.2,0,1,30
15.93077,0,1,30
13.08654,1,0,27
33.95,1,1,27
15.74786,1,1,25
12.55,1,0,25
13.48889,0,0,25
32.45171,1,0,30
20.54872,1,1,26
20.16731,0,0,31
25.02802,0,1,31
36.90385,1,0,32
10.192307,1,1,25
17.76379,1,0,32
21.83077,1,1,26
11.092307,0,0,34
28.05,1,0,30
38.42692,1,0,28
19.32692,1,1,25
15.48077,0,0,25
19.32692,0,0,25
19.59402,0,0,25
15.6,1,1,31
23.00192,1,0,30
19.87692,0,1,31
19.06539,0,0,32
18.51539,0,1,27
15.92083,0,0,29
26.19744,0,0,28
17.65,1,0,26
9.775,0,0,29
12.415385,0,0,28
11.653846,0,0,30
12.415385,0,0,28
24.16539,1,1,28
12.901923,1,0,29
9,0,1,28
19.85686,0,0,27
43.53462,1,0,31
14.91923,0,0,29
33.09188,1,0,27
18.94615,1,1,26
18.61539,1,0,27
22.53077,1,1,33
20.37,1,0,30
14.78846,1,0,32
13.47404,1,1,30
24.02308,1,0,33
14.46795,1,0,32
18.84615,1,1,25
20.81923,1,0,25
22.53077,0,0,33
31.57133,1,1,29
20.56255,1,0,28
22.33077,0,0,31
24.79279,1,1,25
14.81923,0,0,28
51.47692,1,1,34
28.78077,1,1,33
11.903846,0,1,33
15.16923,0,1,32
10.261538,0,1,31
27.3174,1,0,30
15.42051,1,1,26
7.860729,0,0,28
14.66581,0,0,27
23.36923,1,1,26
33.56923,1,1,28
29.64231,0,0,32
20.18252,0,0,27
8.793706,1,1,25
20.91239,1,0,27
6.791941,0,0,29
33.75,0,0,25
24.05385,1,1,29
21.13846,0,1,34
24.18461,1,0,25
20.01667,0,1,34
15.15,0,1,27
8.8,0,1,26
15.31923,0,0,33
36.54487,1,0,34
15.31923,1,1,33
15.1,0,0,26
14.58846,0,1,31
27.23846,0,0,32
10.065385,1,0,34
25.0859,1,0,26
8.365385,1,1,25
21.30192,1,1,26
20.05769,1,0,27
20.18252,1,1,27
15.31923,0,0,33
15.26923,0,1,33
19.90769,0,0,26
13.31731,0,0,25
11.953846,0,0,33
14.66923,0,1,27
24.38461,1,0,27
13.98901,0,0,30
17.02308,1,1,26
12.024359,1,0,30
19.72692,0,0,29
8.057693,0,1,33
11.508704,0,1,25
24.78461,1,0,31
10.782693,0,1,29
9.880769,0,1,32
23.80961,1,0,30
24.11752,1,0,27
18.1,0,0,31
7.951961,0,1,31
10.311538,0,0,31
39.18846,1,0,26
26.77583,1,1,26
15.21923,1,1,32
14.78899,1,0,33
14.63846,0,0,31
8.9,0,1,27
11.136095,0,0,30
12.615385,0,0,30
9.973077,0,1,31
5.703846,0,0,33
13.63956,0,0,32
24.16752,0,0,28
16.36154,0,0,29
63.24615,1,0,31
21.46923,1,1,32
12.134615,0,0,30
63.19615,0,0,31
7.484615,0,1,34
12.05,0,1,31
19.92692,0,0,31
19.62692,1,1,28
12.442858,0,0,33
20.98725,1,0,28
25.53922,1,1,25
13.37692,1,1,32
14.17657,1,0,32
18.31539,0,1,25
11.182693,0,1,33
15.41923,0,0,34
18.22692,1,0,26
24.85577,1,1,25
15.87692,1,1,28
12.064792,0,0,33
51.52692,1,0,34
21.65,1,1,29
23.64017,0,0,27
32.19615,1,0,33
9.573077,0,1,27
29.57308,1,0,26
24.42836,0,0,32
14.48846,1,0,29
24.07981,1,0,29
16.16154,0,0,27
13.325,0,1,32
19.32692,0,0,25
8.7,0,1,25
13.32692,1,0,27
19.80769,1,1,25
20.71923,0,1,25
37.03803,1,0,28
21.52607,1,0,31
13.71667,0,0,33
30.35385,1,0,29
36.80385,1,0,31
11.503239,1,1,29
10.4625,1,0,26
14.51923,1,1,25
14.81923,0,0,28
29.77308,1,0,28
36.85385,0,0,32
22.26154,1,0,25
18.33461,1,0,29
17.80385,1,1,29
7.265385,0,1,27
8.625444,0,0,33
11.641758,0,0,34
9.193956,0,1,32
18.18461,0,0,28
15.70363,1,0,33
14.3274,1,1,34
13.1,0,1,29
28.88077,0,0,34
11.886538,1,1,28
32.61667,1,0,34
17.72308,1,1,33
14.71923,0,0,27
19.49139,1,0,25
21.35,1,1,26
29.45678,1,1,29
21.13269,0,0,32
14.61539,0,0,25
51.02692,1,0,29
51.37692,1,1,33
16.35,0,0,31
23.09231,1,1,29
15.86959,0,0,29
27.5,1,1,25
21.39615,1,0,25
33.85,0,0,26
17.12308,1,1,27
27.86111,1,0,27
21.57607,0,0,32
32.09615,1,0,32
12.9,0,0,29
16.96397,1,1,33
17.62308,0,0,32
30.72253,1,0,32
21.86154,0,0,34
15.94786,1,1,27
23.21282,1,1,27
13.10917,1,0,30
15.72051,1,1,29
17.84423,0,0,27
15.2,1,1,27
17.41154,1,1,27
21.83077,0,0,26
17.72308,1,1,33
23.24231,1,0,30
11.903846,0,1,33
8.694505,0,0,32
13.98846,0,1,25
19.35385,1,1,32
11.780769,0,1,26
10.411538,1,1,32
11.092788,0,0,29
21.28909,1,1,34
29.24573,1,0,27
21.83077,1,1,26
14.65598,0,0,28
16.94135,0,0,29
23.94957,1,1,29
11.455769,0,1,25
13.15641,0,0,29
22.38077,1,0,31
22.42857,1,1,30
20.22692,1,1,34
38.75769,1,1,27
34.65,0,0,34
51.27692,0,0,32
13.72692,0,1,32
18.87633,0,0,29
6.913736,0,1,27
12.93846,0,0,29
12.165385,1,0,25
19.37692,0,1,26
6.165385,0,0,28
21.88077,1,0,26
11.092307,0,0,34
19.19615,0,1,29
22.58077,1,0,33
17.93461,0,1,26
26.21864,1,0,25
14.68077,1,0,29
24.68461,0,1,31
16.54231,1,1,26
11.554167,0,0,27
12.615385,0,0,30
9.608333,0,1,32
8.904395,0,0,33
26.32692,0,1,33
16.76154,1,1,33
23.52308,1,0,28
12.415385,0,0,28
10.05,0,1,26
23.67308,0,0,30
12.315385,0,0,27
8.369231,0,0,26
17.12308,0,0,27
14.48846,1,0,29
19.54583,0,0,34
17.02308,0,0,26
19.72692,0,0,29
17.02308,1,1,26
32.89259,1,1,28
18.36539,0,0,25
18.27154,0,0,30
8.969231,0,0,32
18.48461,0,0,31
21.52607,1,0,31
20.0875,0,0,29
10.233333,0,0,34
22.48077,1,0,32
31.74615,1,1,29
16.44231,1,1,25
18.86923,0,0,31
15.3,0,0,33
13.22692,1,0,26
23.52522,0,0,34
12.115385,1,1,25
14.73776,0,0,25
15.35,0,1,29
13.56923,0,0,28
19.40385,1,0,32
15.54039,1,1,28
17.2,0,0,32
7.948718,0,0,25
14.03846,0,0,25
11.573077,0,0,34
16.66154,0,0,32
12.615385,0,0,30
12.458824,1,1,29
26.78846,1,0,27
13.78901,1,1,28
32.69711,1,0,33
13.62692,0,1,31
11.15,0,1,27
15.25,1,0,27
21.68077,0,1,25
16.76154,0,0,33
13.05641,0,0,28
9.861538,0,1,27
8.438462,0,1,32
9.730769,0,0,30
19.47692,1,0,26
15.29039,1,0,25
14.96923,0,1,30
13.98901,0,0,30
17.75385,0,1,29
14.46923,0,1,25
53.83077,0,1,34
24.45385,0,0,33
22.74231,1,0,25
16.79231,0,1,29
13.47449,1,1,31
14.66923,0,1,27
28.98205,0,0,27
24.33461,1,1,27
29.74573,1,0,32
24.35385,0,0,32
23.67967,1,0,33
12.515385,0,0,29
30.62778,1,0,28
24.98461,0,1,34
10.592307,0,0,29
13.335208,0,1,34
22.53077,0,0,33
15.2,0,0,27
12.1,0,0,31
17.02308,1,1,26
14.62265,1,1,27
21.73077,0,0,25
30.77253,0,0,33
26.20427,1,1,27
17.87308,1,0,34
39.15769,1,1,31
19.54615,0,0,32
17.72308,0,0,33
24.30385,1,0,31
17.07308,0,1,27
15.33811,1,0,34
27.27583,1,1,31
26.02727,1,1,33
8.057693,0,1,33
23.04231,1,0,28
10.611538,0,0,34
7.426923,0,0,31
28.3,0,0,33
22.03077,0,0,28
10.673077,0,0,25
39.40769,1,0,33
8.8,0,1,26
9.557693,0,0,30
18.68461,0,0,33
19.20237,0,0,33
30.27253,0,0,28
19.64615,0,0,33
16.45,0,0,27
12.415385,0,0,28
21.56923,0,0,33
21.12949,0,0,27
24.39519,0,0,34
18.23461,1,0,28
12.555494,0,1,31
12.1,0,1,34
17.42308,1,1,30
21.73077,0,0,25
21.45,1,1,27
22.63077,1,1,34
15.57211,0,0,25
18.63427,0,0,29
13.75,1,0,27
43.03462,1,0,26
17.72308,1,1,33
14.02308,0,1,34
11.240884,1,0,30
21.66923,1,1,34
14.83846,0,0,33
17.02308,0,0,26
18.02372,0,0,32
13.92857,0,0,25
7.077885,0,1,28
31.22692,1,0,31
16.97308,1,0,25
21.55342,1,0,27
12.315385,0,0,27
11.553846,0,0,29
13.1,0,0,31
21.98974,0,0,34
15.7,0,0,32
19.42692,0,0,26
10.162179,0,1,26
16.52244,0,0,25
8.419231,0,1,27
50.45855,1,0,34
14.49467,0,0,34
13.93901,0,1,30
17.8,0,0,28
25.87747,0,1,34
18.13461,1,0,27
36.35385,1,1,27
20.95,1,0,29
16.56154,0,0,31
23.97308,1,1,33
26.84744,1,0,34
33.45,1,0,34
25.87628,1,1,32
20.91923,0,1,27
23.05,1,0,30
25.44615,1,0,28
27.04808,1,0,32
23.95385,1,1,28
46.31923,1,0,30
22.23077,1,1,30
17.38461,1,1,25
7.8145,1,1,25
19.01539,0,1,32
45.53504,0,0,28
17.09615,1,0,32
17.90726,0,1,30
9.593357,0,0,26
31.99615,0,1,32
18.38461,0,0,30
21.73077,1,1,25
18.3,1,1,33
22,1,0,32
13.34615,0,1,33
17.37308,1,0,29
7.507693,0,0,27
21.7875,0,1,33
18.73461,0,1,34
32.04615,0,0,32
14.71923,0,0,27
31.99615,1,0,31
30.50385,1,1,31
10.2,0,0,32
18.99615,0,1,27
11.423077,0,1,33
20.25192,1,1,28
8.569231,1,1,28
20.15769,1,0,28
21.83077,1,1,26
18.43461,0,1,31
14.54487,1,0,27
12.265385,0,1,27
7.575,1,0,34
46.87051,1,1,28
24.28461,0,0,34
14.81923,0,0,28
27.65,0,1,27
9.99645,0,0,26
17.82308,1,1,34
28.27051,1,0,29
13.18461,1,1,28
17.19231,0,1,33
34.55,1,1,33
