Name,Genre,ESRB_Rating,Platform,Publisher,Score,Sales,Year
Wii Sports,Sports,E,Wii,Nintendo,7.7,82.86,2006
Super Mario Bros.,Platform,,NES,Nintendo,10,40.24,1985
Mario Kart Wii,Racing,E,Wii,Nintendo,8.2,37.14,2008
Wii Sports Resort,Sports,E,Wii,Nintendo,8,33.09,2009
Pokemon Red / Green / Blue Version,Role-Playing,E,GB,Nintendo,9.4,31.38,1998
New Super Mario Bros.,Platform,E,DS,Nintendo,9.1,30.8,2006
New Super Mario Bros. Wii,Platform,E,Wii,Nintendo,8.6,30.22,2009
Minecraft,Misc,,PC,Mojang,10,30.01,2010
Wii Play,Misc,E,Wii,Nintendo,5.9,28.02,2007
Kinect Adventures!,Party,E,X360,Microsoft Game Studios,6.7,24,2010
Nintendogs,Simulation,E,DS,Nintendo,8.4,23.96,2005
Mario Kart DS,Racing,E,DS,Nintendo,9.1,23.6,2005
Pokemon Gold / Silver Version,Role-Playing,E,GB,Nintendo,9.2,23.1,2000
Wii Fit,Sports,E,Wii,Nintendo,7.9,22.67,2008
Wii Fit Plus,Sports,E,Wii,Nintendo,8,21.13,2009
Super Mario World,Platform,E,SNES,Nintendo,8.5,20.61,1991
Grand Theft Auto V,Action,M,PS3,Rockstar Games,9.4,20.32,2013
Grand Theft Auto V,Action,M,PS4,Rockstar Games,9.7,19.39,2014
Brain Age: Train Your Brain in Minutes a Day,Misc,E,DS,Nintendo,8.1,19.01,2006
Mario Kart 7,Racing,E,3DS,Nintendo,8.2,18.11,2011
Pokemon Diamond / Pearl Version,Role-Playing,E,DS,Nintendo,8.6,17.67,2007
Grand Theft Auto: San Andreas,Action,M,PS2,Rockstar Games,9.5,17.3,2004
Pokemon X/Y,Role-Playing,E,3DS,Nintendo,8.9,16.37,2013
Pokemon Ruby / Sapphire Version,Role-Playing,E,GBA,Nintendo,8.8,16.22,2003
Grand Theft Auto: Vice City,Action,M,PS2,Rockstar Games,9.6,16.15,2002
Pokemon Sun/Moon,Role-Playing,E,3DS,Nintendo,9,16.14,2016
Pokemon Black / White Version,Role-Playing,E,DS,Nintendo,8.6,15.64,2011
Mario Kart 8 Deluxe,Racing,E,NS,Nintendo,9.3,15.02,2017
Counter-Strike: Source,Shooter,M,PC,VU Games,9.3,15,2004
Gran Turismo 3: A-Spec,Racing,E,PS2,Sony Computer Entertainment,9.3,14.89,2001
Brain Age 2: More Training in Minutes a Day,Misc,E,DS,Nintendo,8,14.88,2007
Call of Duty: Modern Warfare 3,Shooter,M,X360,Activision,8.7,14.82,2011
Call of Duty: Black Ops,Shooter,M,X360,Activision,8.8,14.74,2010
Pokemon Yellow: Special Pikachu Edition,Role-Playing,E,GB,Nintendo,8.7,14.64,1999
Halo 3,Shooter,M,X360,Microsoft Game Studios,9.6,14.5,2007
Red Dead Redemption 2,Action-Adventure,M,PS4,Rockstar Games,9.8,13.94,2018
Super Mario Odyssey,Platform,E10,NS,Nintendo,9.9,13.76,2017
Call of Duty: Modern Warfare 2,Shooter,M,X360,Activision,9.5,13.53,2009
Call of Duty: WWII,Shooter,M,PS4,Activision,8,13.4,2017
Call of Duty: Modern Warfare 3,Shooter,M,PS3,Activision,8.8,13.35,2011
Super Smash Bros. Brawl,Fighting,T,Wii,Nintendo,9.2,13.29,2008
Grand Theft Auto III,Action,M,PS2,Rockstar Games,9.5,13.1,2001
New Super Mario Bros. 2,Platform,E,3DS,Nintendo,7.5,13.08,2012
Portal 2,Shooter,E10,PC,Valve,9.7,13.06,2011
Super Mario Galaxy,Platform,E,Wii,Nintendo,9.7,12.78,2007
Pokemon Heart Gold / Soul Silver Version,Role-Playing,E,DS,Nintendo,8.6,12.72,2010
Call of Duty: Black Ops,Shooter,M,PS3,Activision,8.7,12.67,2010
Super Mario 3D Land,Platform,E,3DS,Nintendo,8.9,12.41,2011
Animal Crossing: New Leaf,Simulation,E,3DS,Nintendo,8.6,12.1,2013
Super Smash Bros. Ultimate,Fighting,E10,NS,Nintendo,9.4,12.08,2018
Diablo III,Role-Playing,M,PC,Blizzard Entertainment,9,12,2012
Pokemon FireRed / LeafGreen Version,Role-Playing,E,GBA,Nintendo,8.3,12,2004
Gran Turismo 5,Racing,E,PS3,Sony Computer Entertainment,8.3,11.95,2010
Super Mario 64,Platform,E,N64,Nintendo,9.7,11.91,1996
FIFA 18,Sports,E,PS4,EA Sports,8.3,11.8,2017
Gran Turismo 4,Racing,E,PS2,Sony Computer Entertainment,8.7,11.76,2005
Animal Crossing: Wild World,Simulation,E,DS,Nintendo,8.5,11.75,2005
The Legend of Zelda: Breath of the Wild,Action-Adventure,E10,NS,Nintendo,9.9,11.68,2017
Super Mario Land 2: 6 Golden Coins,Platform,E,GB,Nintendo,9,11.18,1992
Grand Theft Auto IV,Action,M,X360,Rockstar Games,10,11.09,2008
Super Mario 64 DS,Platform,E,DS,Nintendo,8.6,11.06,2004
Terraria,Platform,T,PC,Unknown,8.8,11,2011
FIFA 17,Sports,E,PS4,Electronic Arts,8.9,10.94,2016
Gran Turismo,Racing,E,PS,Sony Computer Entertainment,9.5,10.85,1998
Call of Duty: Modern Warfare 2,Shooter,M,PS3,Activision,9.5,10.61,2009
Grand Theft Auto IV,Action,M,PS3,Rockstar Games,10,10.57,2008
Call of Duty: Ghosts,Shooter,M,X360,Activision,6.9,10.41,2013
Just Dance 3,Misc,E10,Wii,Ubisoft,7.5,10.14,2011
Call of Duty: Ghosts,Shooter,M,PS3,Activision,7.5,10.13,2013
Horizon: Zero Dawn,Action,T,PS4,Sony Interactive Entertainment,9.1,10,2017
RollerCoaster Tycoon 3,Strategy,E,PC,Atari,8.3,10,2004
Halo: Reach,Shooter,M,X360,Microsoft Game Studios,9.3,9.97,2010
Portal,Shooter,T,PC,Valve Corporation,9,9.97,2008
Final Fantasy VII,Role-Playing,T,PS,Sony Computer Entertainment,9.6,9.9,1997
Mario Kart 64,Racing,E,N64,Nintendo,8.5,9.87,1997
StarCraft,Strategy,T,PC,Blizzard Entertainment,8.7,9.5,1998
Super Smash Bros. for 3DS,Fighting,E10,3DS,Nintendo,8.4,9.45,2014
Call of Duty 4: Modern Warfare,Shooter,M,X360,Activision,9.6,9.41,2007
Gran Turismo 2,Racing,E,PS,Sony Computer Entertainment,9.2,9.37,1999
Wii Party,Misc,E,Wii,Nintendo,7,9.32,2010
Mario Party DS,Misc,E,DS,Nintendo,7.1,9.31,2007
Donkey Kong Country,Platform,E,SNES,Nintendo,9,9.3,1994
Rust,Action-Adventure,,PC,Facepunch Studios,6.1,9.15,2018
Marvel's Spider-Man,Action-Adventure,T,PS4,Sony Interactive Entertainment,9.1,9,2018
Half-Life 2,Shooter,M,PC,VU Games,9.7,8.88,2004
The Elder Scrolls V: Skyrim,Role-Playing,M,X360,Bethesda Softworks,9.3,8.88,2011
Mario Party 8,Misc,E,Wii,Nintendo,6.5,8.85,2007
Super Mario Kart,Racing,E,SNES,Nintendo,10,8.76,1992
Grand Theft Auto V,Action,M,XOne,Rockstar Games,9,8.72,2014
Uncharted 4: A Thief's End,Action,T,PS4,Sony Interactive Entertainment,9.2,8.7,2016
Final Fantasy VIII,Role-Playing,T,PS,Square EA,9.4,8.6,1999
Final Fantasy X,Role-Playing,T,PS2,Square,9,8.6,2001
Pokemon Black 2 and White 2,Role-Playing,E,DS,Nintendo,8,8.52,2012
Fallout 4,Role-Playing,M,PS4,Bethesda Softworks,8.6,8.48,2015
Mario Kart 8,Racing,E,WiiU,Nintendo,8.8,8.42,2014
Tekken 3,Fighting,T,PS,Namco,9.6,8.3,1998
Pokemon: Ultra Sun and Ultra Moon,Role-Playing,E,3DS,Nintendo,8.1,8.28,2017
Splatoon 2,Shooter,E10,NS,Nintendo,8.2,8.27,2017
FIFA 16,Sports,E,PS4,EA Sports,8.5,8.22,2015
GoldenEye 007,Shooter,T,N64,Nintendo,9.8,8.09,1997
Star Wars Battlefront (2015),Shooter,T,PS4,Electronic Arts,7.1,8.03,2015
Halo 2,Shooter,M,XB,Microsoft Game Studios,9.6,8,2004
The Sims 3,Simulation,T,PC,Electronic Arts,8.5,7.96,2009
Grand Theft Auto: Liberty City Stories,Action,M,PSP,Rockstar Games,8.8,7.72,2005
Pokemon Platinum Version,Role-Playing,E,DS,Nintendo,8.3,7.6,2009
The Legend of Zelda: Ocarina of Time,Adventure,E,N64,Nintendo,9.9,7.6,1998
Crash Bandicoot 2: Cortex Strikes Back,Platform,E,PS,Sony Computer Entertainment,8.6,7.58,1997
Call of Duty: Advanced Warfare,Shooter,M,PS4,Activision,8.5,7.53,2014
Call of Duty: World at War,Shooter,M,X360,Activision,8.5,7.5,2008
Super Mario Galaxy 2,Platform,E,Wii,Nintendo,9.7,7.41,2010
Super Smash Bros. Melee,Fighting,T,GC,Nintendo,9.2,7.41,2001
Battlefield 3,Shooter,M,X360,Electronic Arts,8.5,7.35,2011
The Legend of Zelda: Twilight Princess,Adventure,T,Wii,Nintendo,9.5,7.26,2006
Battlefield 3,Shooter,M,PS3,Electronic Arts,8.5,7.21,2011
Need for Speed Underground,Racing,E,PS2,Electronic Arts,8.6,7.2,2003
The Binding of Isaac,Action,,PC,Edmund McMillen,8.3,7.17,2011
Crash Bandicoot 3: Warped,Platform,E,PS,Sony Computer Entertainment,9.3,7.13,1998
Pokemon Emerald Version,Role-Playing,E,GBA,Nintendo,7.7,7.06,2005
Need for Speed Underground 2,Racing,E,PS2,Electronic Arts,8.3,6.9,2004
Mario Kart: Double Dash!!,Racing,E,GC,Nintendo,8.5,6.88,2003
Uncharted 3: Drake's Deception,Action,T,PS3,Sony Computer Entertainment,9.3,6.84,2011
Medal of Honor: Frontline,Shooter,T,PS2,Electronic Arts,9,6.83,2002
Crash Bandicoot,Platform,E,PS,Sony Computer Entertainment,7.8,6.82,1996
Uncharted 2: Among Thieves,Action,T,PS3,Sony Computer Entertainment,9.5,6.74,2009
Call of Duty 4: Modern Warfare,Shooter,M,PS3,Activision,9.5,6.72,2007
FIFA Soccer 12,Sports,E,PS3,EA Sports,9.2,6.65,2011
Red Dead Redemption,Action,M,PS3,Rockstar Games,9.5,6.57,2011
Donkey Kong Country Returns,Platform,E,Wii,Nintendo,8.6,6.53,2010
Assassin's Creed III,Action-Adventure,M,PS3,Ubisoft,8.8,6.5,2012
Guild Wars,Role-Playing,T,PC,NCSoft,8.7,6.5,2005
Red Dead Redemption,Action,M,X360,Rockstar Games,9.5,6.5,2010
The Elder Scrolls V: Skyrim,Role-Playing,M,PS3,Bethesda Softworks,9,6.49,2011
Final Fantasy XII,Role-Playing,T,PS2,Square Enix,9.4,6.4,2006
Tomodachi Life,Simulation,E,3DS,Nintendo,7.8,6.4,2014
Pokemon Crystal Version,Role-Playing,E,GBC,Nintendo,8.7,6.39,2001
Halo 3: ODST,Shooter,M,X360,Microsoft Game Studios,8.7,6.35,2009
Minecraft,Misc,E10,PS4,Sony Computer Entertainment,9.4,6.33,2014
FIFA 15,Sports,E,PS4,EA Sports,8.1,6.32,2014
Kingdom Hearts,Role-Playing,E,PS2,Square EA,8.5,6.3,2002
The Last of Us,Action-Adventure,M,PS3,Sony Computer Entertainment America,9.5,6.27,2013
Driver,Action,T,PS,GT Interactive,8.5,6.27,1999
God of War (2018),Action,M,PS4,Sony Interactive Entertainment,9.7,6.15,2018
Big Brain Academy,Misc,E,DS,Nintendo,7.7,6.15,2006
Metal Gear Solid 2: Sons of Liberty,Action,M,PS2,Konami,9.5,6.05,2001
Metal Gear Solid,Action,M,PS,Konami,9.3,6,1998
Myst,Adventure,E,PC,Broderbund,8.9,6,1995
Metal Gear Solid 4: Guns of the Patriots,Action,M,PS3,Konami,9.3,6,2008
Euro Truck Simulator 2,Simulation,,PC,SCS Software,8.5,5.98,2013
Mario Kart: Super Circuit,Racing,E,GBA,Nintendo,9.3,5.91,2001
Super Mario Sunshine,Platform,E,GC,Nintendo,9.2,5.91,2002
LittleBigPlanet,Platform,E,PS3,Sony Computer Entertainment,9.4,5.85,2008
Super Mario 3D World,Platform,E,WiiU,Nintendo,9.5,5.8,2013
Link's Crossbow Training,Shooter,T,Wii,Nintendo,6.9,5.79,2007
New Super Mario Bros. U,Platform,E,WiiU,Nintendo,8.4,5.77,2012
Luigi's Mansion: Dark Moon,Adventure,E,3DS,Nintendo,8.6,5.75,2013
Tekken 2,Fighting,T,PS,Namco,9.1,5.74,1996
Super Mario World: Super Mario Advance 2,Platform,E,GBA,Nintendo,9.4,5.69,2002
LEGO Star Wars: The Complete Saga,Action,E10,Wii,LucasArts,8,5.66,2007
Cooking Mama,Simulation,E,DS,Majesco,6.6,5.66,2006
The Legend of Zelda: Ocarina of Time 3D,Action-Adventure,E10,3DS,Nintendo,9.5,5.62,2011
Super Mario Advance,Platform,E,GBA,Nintendo,8.2,5.57,2001
Assassin's Creed II,Action,M,PS3,Ubisoft,9,5.57,2009
Super Smash Bros.,Fighting,E,N64,Nintendo,8.4,5.55,1999
Assassin's Creed,Action,M,X360,Ubisoft,8.2,5.55,2007
Batman: Arkham City,Action,T,PS3,Warner Bros. Interactive,9.6,5.54,2011
Forza Motorsport 3,Racing,E,X360,Microsoft Game Studios,9.2,5.5,2009
Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,E10,DS,Nintendo,8.6,5.5,2010
Final Fantasy IX,Role-Playing,T,PS,Square,9.2,5.5,2000
Final Fantasy X-2,Role-Playing,T,PS2,Square Enix,8.3,5.5,2003
Tomb Raider (2013),Action,M,PC,Square Enix,8.8,5.5,2013
Pokemon Stadium,Strategy,E,N64,Nintendo,7.5,5.46,2000
Call of Duty: World at War,Shooter,M,PS3,Activision,8.4,5.43,2008
Super Mario Advance 4: Super Mario Bros. 3,Platform,E,GBA,Nintendo,9.2,5.43,2003
Crash Bandicoot: The Wrath of Cortex,Platform,E,PS2,Universal Interactive,6.9,5.42,2001
Final Fantasy XIII,Role-Playing,T,PS3,Square Enix,8,5.35,2010
Gran Turismo 5 Prologue,Racing,E,PS3,Sony Computer Entertainment,8.3,5.35,2008
Super Smash Bros. for Wii U,Fighting,E10,WiiU,Nintendo,9.2,5.35,2014
Pokemon Pinball,Misc,E,GBC,Nintendo,8.7,5.31,1999
Assassin's Creed II,Action,M,X360,Ubisoft,9.1,5.3,2009
Super Mario Party,Party,E,NS,Nintendo,7.3,5.3,2018
Donkey Kong 64,Platform,E,N64,Nintendo,9.3,5.27,1999
Just Dance 2,Misc,E10,Wii,Ubisoft,7.3,5.25,2010
Tomb Raider II,Adventure,T,PS,Eidos Interactive,7.6,5.24,1997
Madden NFL 2004,Sports,E,PS2,EA Sports,9.5,5.23,2003
Call of Duty: Advanced Warfare,Shooter,M,XOne,Activision,8.3,5.22,2014
Fallout: New Vegas,Role-Playing,M,PC,Bethesda Softworks,8.3,5.22,2010
Kingdom Hearts II,Role-Playing,E10,PS2,Square Enix,8.3,5.2,2006
God of War III,Action,M,PS3,Sony Computer Entertainment,9.2,5.2,2010
Nintendo Land,Party,E10,WiiU,Nintendo,7.8,5.19,2012
Super Mario Land 3: Wario Land,Platform,E,GB,Nintendo,7.9,5.19,1994
Donkey Kong Country 2: Diddy's Kong Quest,Platform,E,SNES,Nintendo,9.3,5.15,1995
Medal of Honor: Rising Sun,Shooter,T,PS2,Electronic Arts,5.9,5.13,2003
Microsoft Flight Simulator,Simulation,E,PC,Microsoft,7,5.12,1996
Guitar Hero II,Misc,T,PS2,RedOctane,9.2,5.12,2006
Resident Evil 5,Action,M,PS3,Capcom,8.6,5.1,2009
Fable III,Role-Playing,M,X360,Microsoft Game Studios,7.8,5.1,2010
Mario & Sonic at the Olympic Games,Sports,E,DS,Sega,7,5.1,2008
Grand Theft Auto: Vice City Stories,Action,M,PSP,Rockstar Games,8.4,5.08,2006
FIFA Soccer 11,Sports,E,PS3,EA Sports,8.7,5.08,2010
Super Mario Bros. Deluxe,Platform,E,GB,Nintendo,9.7,5.07,1999
Final Fantasy XV,Role-Playing,T,PS4,Square Enix,8.1,5.07,2016
Fallout 4,Role-Playing,M,XOne,Bethesda Softworks,8.4,5.03,2015
Tony Hawk's Pro Skater,Sports,T,PS,Activision,9.6,5.02,1999
Spyro the Dragon,Platform,E,PS,Sony Computer Entertainment,8.7,5,1998
Gears of War,Shooter,M,X360,Microsoft Game Studios,9.4,5,2006
Gears of War 2,Shooter,M,X360,Microsoft Game Studios,9.4,5,2008
Halo 5: Guardians,Shooter,T,XOne,Microsoft Studios,8.6,5,2015
Halo: Combat Evolved,Shooter,M,XB,Microsoft,9.5,5,2001
Guitar Hero III: Legends of Rock,Misc,T,PS2,RedOctane,8.2,4.98,2007
Uncharted: Drake's Fortune,Action,T,PS3,Sony Computer Entertainment,8.7,4.97,2007
Resident Evil 2,Action,M,PS,Capcom,9.3,4.96,1998
Fallout 3,Role-Playing,M,X360,Bethesda Softworks,9,4.96,2008
Splatoon,Shooter,E10,WiiU,Nintendo,8.4,4.94,2015
Madden NFL 06,Sports,E,PS2,EA Sports,9.1,4.91,2005
Stardew Valley,Simulation,E10,PC,Chucklefish,9.2,4.91,2016
Dragon Quest VIII: Journey of the Cursed King,Role-Playing,T,PS2,Square Enix,8.6,4.9,2005
Diddy Kong Racing,Racing,E,N64,Nintendo,8.3,4.88,1997
Pokemon Mystery Dungeon: Explorers of Time / Darkness,Role-Playing,E,DS,Nintendo,6.4,4.88,2008
Assassin's Creed,Action,M,PS3,Ubisoft,8.2,4.83,2007
Crash Team Racing,Racing,E,PS,Sony Computer Entertainment,9.2,4.79,1999
LEGO Star Wars: The Complete Saga,Action,E,DS,LucasArts,7.8,4.77,2007
The Legend of Zelda: Phantom Hourglass,Adventure,E,DS,Nintendo,9.1,4.76,2007
Batman: Arkham City,Action,T,X360,Warner Bros. Interactive,9.5,4.75,2011
Driver 2,Action,T,PS,Atari,7,4.73,2000
The Simpsons: Hit & Run,Racing,T,PS2,VU Games,7.7,4.7,2003
World of Warcraft: Cataclysm,MMO,T,PC,Blizzard Entertainment,9,4.7,2010
Tony Hawk's Pro Skater 2,Sports,T,PS,Activision,9.3,4.68,2000
Monster Hunter: World,Action,T,PS4,Capcom,9.3,4.67,2018
Gran Turismo,Racing,E,PSP,Sony Computer Entertainment,7.7,4.67,2009
The Lord of the Rings: The Two Towers,Action,T,PS2,Electronic Arts,8.3,4.67,2002
Tomb Raider,Action,T,PS,Eidos Interactive,8.9,4.63,1996
God of War,Action,M,PS2,Sony Computer Entertainment,9.3,4.62,2005
The Legend of Zelda: A Link to the Past,Adventure,,SNES,Nintendo,10,4.61,1992
Forza Motorsport 4,Racing,E,X360,Microsoft Studios,9.1,4.6,2011
Guitar Hero III: Legends of Rock,Misc,T,Wii,RedOctane,8.6,4.6,2007
"Pokemon: Let's Go, Pikachu!",Role-Playing,E,NS,Nintendo,8.3,4.57,2018
Mario & Luigi: Bowser's Inside Story,Role-Playing,E,DS,Nintendo,9.1,4.56,2009
FIFA 15,Sports,E,PS3,EA Sports,6.9,4.56,2014
Mario & Sonic at the Olympic Winter Games,Sports,E,Wii,Sega,6.8,4.54,2009
Overwatch,Shooter,T,PS4,Blizzard Entertainment,8.8,4.54,2016
Madden NFL 2005,Sports,E,PS2,EA Sports,9.5,4.53,2004
Guitar Hero III: Legends of Rock,Misc,T,X360,RedOctane,8.7,4.53,2007
Dead Island,Action,M,PC,Deep Silver,7.1,4.52,2011
StarCraft II: Wings of Liberty,Strategy,T,PC,Blizzard Entertainment,9.3,4.5,2010
Warcraft III: Reign of Chaos,Strategy,T,PC,Blizzard Entertainment,9.3,4.5,2002
Professor Layton and the Curious Village,Adventure,E,DS,Nintendo,8.7,4.49,2008
Madden NFL 07,Sports,E,PS2,EA Sports,8.5,4.49,2006
Spider-Man: The Movie,Action,E,PS2,Activision,8.2,4.48,2002
Nintendogs + cats,Simulation,E,3DS,Nintendo,7.2,4.48,2011
The Elder Scrolls IV: Oblivion,Role-Playing,M,X360,Take-Two Interactive,9.2,4.47,2009
The Legend of Zelda: The Wind Waker,Adventure,E,GC,Nintendo,9.6,4.43,2003
Tony Hawk's Pro Skater 3,Sports,T,PS2,Activision,9.1,4.41,2001
Winning Eleven: Pro Evolution Soccer 2007,Sports,E,PS2,Konami,8.8,4.39,2007
Michael Jackson: The Experience,Misc,E10,Wii,Ubisoft,5.6,4.37,2010
Need for Speed: Most Wanted,Racing,T,PS2,Electronic Arts,8.6,4.37,2005
Resistance: Fall of Man,Shooter,M,PS3,Sony Computer Entertainment,8.5,4.37,2006
Call of Duty: Advanced Warfare,Shooter,M,X360,Activision,9.1,4.34,2014
Animal Crossing: City Folk,Simulation,E,Wii,Nintendo,7.1,4.32,2008
Dragon Quest VII,Role-Playing,T,PS,Enix,8,4.3,2001
Monster Hunter Generations,Action,T,3DS,Capcom,8.8,4.3,2016
Batman: Arkham Asylum,Action,T,PS3,Eidos Interactive,9,4.28,2009
Call of Duty: Advanced Warfare,Shooter,M,PS3,Activision,9.1,4.27,2014
God of War II,Action,M,PS2,Sony Computer Entertainment,9.3,4.24,2007
Daxter,Platform,E10,PSP,Sony Computer Entertainment,8.6,4.23,2006
Super Paper Mario,Platform,E,Wii,Nintendo,8.5,4.23,2007
Assassin's Creed: Revelations,Action,M,PS3,Ubisoft,8.8,4.23,2011
Metal Gear Solid 3: Snake Eater,Action,M,PS2,Konami,9,4.23,2004
Assassin's Creed: Revelations,Action,M,X360,Ubisoft,7.9,4.22,2011
FIFA Soccer 06,Sports,E,PS2,EA Sports,8.4,4.21,2005
Monster Hunter 4 Ultimate,Role-Playing,T,3DS,Capcom,8.8,4.2,2015
Street Fighter IV,Fighting,T,PS3,Capcom,9.3,4.19,2009
FIFA Soccer 12,Sports,E,X360,EA Sports,9.2,4.18,2011
Call of Duty: Ghosts,Shooter,M,PS4,Activision,7.5,4.17,2013
Teenage Mutant Ninja Turtles,Platform,,NES,Ultra Games,5.9,4.17,1989
Just Cause 2,Action,M,PC,Eidos Interactive,8.2,4.16,2010
Star Wars Battlefront (2015),Shooter,T,XOne,Electronic Arts,6.9,4.15,2015
Madden NFL 2003,Sports,E,PS2,EA Sports,9.4,4.14,2002
Half-Life,Shooter,M,PC,Sierra Entertainment,9.5,4.12,1998
Super Mario World 2: Yoshi's Island,Platform,E,SNES,Nintendo,9,4.12,1995
Batman: Arkham Knight,Action,M,PS4,Warner Bros. Interactive,8.1,4.11,2015
FIFA 07 Soccer,Sports,E,PS2,EA Sports,8.4,4.11,2006
The Sims 4,Simulation,T,PC,Electronic Arts,7,4.1,2014
Street Fighter II Turbo,Fighting,,SNES,Capcom,9,4.1,1993
Fallout: New Vegas,Role-Playing,M,X360,Bethesda Softworks,8.2,4.08,2010
Far Cry 4,Shooter,M,PS4,Ubisoft,8.4,4.06,2014
Carnival Games,Misc,E,Wii,Global Star Software,4.2,4.06,2007
World Soccer Winning Eleven 9,Sports,E,PS2,Konami,8.9,4.06,2006
Forza Motorsport 2,Racing,E,X360,Microsoft Game Studios,9.1,4.05,2007
Tekken Tag Tournament,Fighting,T,PS2,Namco,8.7,4.05,2000
Diablo II,Role-Playing,M,PC,Blizzard Entertainment,8.8,4,2000
EyeToy Play,Misc,E,PS2,Sony Computer Entertainment,7.5,4,2003
